# s/c    P_stat_mean   P_stat_std
0.57956746 0.56062947 0.00400486
0.58085355 0.56026534 0.00400160
0.58213964 0.55990186 0.00399448
0.58341094 0.55955694 0.00397965
0.58469703 0.55923869 0.00395571
0.58598312 0.55894931 0.00392294
0.58726921 0.55868288 0.00388512
0.58854051 0.55842755 0.00384640
0.58982660 0.55817459 0.00380926
0.59111269 0.55791915 0.00377473
0.59239878 0.55766450 0.00374055
0.59367008 0.55742171 0.00370285
0.59495617 0.55719757 0.00365985
0.59624226 0.55698796 0.00361391
0.59751356 0.55677956 0.00357111
0.59879965 0.55656112 0.00353439
0.60008574 0.55632382 0.00350536
0.60137183 0.55606253 0.00348436
0.60264313 0.55577874 0.00347014
0.60392922 0.55548135 0.00345962
0.60521531 0.55518762 0.00344671
0.60648661 0.55491470 0.00342679
0.60777270 0.55467624 0.00339534
0.60905879 0.55447552 0.00335191
0.61033010 0.55430014 0.00330246
0.61161618 0.55413244 0.00325332
0.61290227 0.55395778 0.00320855
0.61417358 0.55376891 0.00316907
0.61545967 0.55356641 0.00313402
0.61674575 0.55335446 0.00310246
0.61801706 0.55313780 0.00307296
0.61930315 0.55291866 0.00304557
0.62058924 0.55269939 0.00301994
0.62187532 0.55248122 0.00299517
0.62314663 0.55226071 0.00297239
0.62443272 0.55203156 0.00295300
0.62571880 0.55178894 0.00293757
0.62699011 0.55153379 0.00292485
0.62827620 0.55127705 0.00291073
0.62954750 0.55103727 0.00288927
0.63083359 0.55082699 0.00285686
0.63211968 0.55064958 0.00281362
0.63339099 0.55050529 0.00276059
0.63467707 0.55039039 0.00269993
0.63596316 0.55029507 0.00263614
0.63723447 0.55020893 0.00257303
0.63852056 0.55012112 0.00251377
0.63980664 0.55001894 0.00246199
0.64107795 0.54989325 0.00241967
0.64236404 0.54974078 0.00238698
0.64365012 0.54956413 0.00236268
0.64492143 0.54936911 0.00234404
0.64620752 0.54916005 0.00232968
0.64749361 0.54894036 0.00231891
0.64876491 0.54871374 0.00231052
0.65005100 0.54848403 0.00230333
0.65132231 0.54825532 0.00229609
0.65260839 0.54803212 0.00228718
0.65389448 0.54781905 0.00227504
0.65516579 0.54762047 0.00225804
0.65645188 0.54744090 0.00223435
0.65772318 0.54728131 0.00220430
0.65900927 0.54714037 0.00216892
0.66029536 0.54701600 0.00212976
0.66156666 0.54690844 0.00208744
0.66285275 0.54682199 0.00204035
0.66413884 0.54676057 0.00198739
0.66541014 0.54672311 0.00192962
0.66669623 0.54669969 0.00187191
0.66796754 0.54667884 0.00181951
0.66925363 0.54665202 0.00177533
0.67053971 0.54661344 0.00174057
0.67181102 0.54656112 0.00171413
0.67309711 0.54649612 0.00169460
0.67436841 0.54642626 0.00167831
0.67565450 0.54636743 0.00165840
0.67692581 0.54633302 0.00163084
0.67821189 0.54632690 0.00159488
0.67949798 0.54634918 0.00155062
0.68076929 0.54640072 0.00149795
0.68205538 0.54648184 0.00143679
0.68332668 0.54659107 0.00136764
0.68461277 0.54671928 0.00129457
0.68589886 0.54684934 0.00122517
0.68717016 0.54696705 0.00116507
0.68845625 0.54706919 0.00111548
0.68972756 0.54716222 0.00107346
0.69101364 0.54725322 0.00103558
0.69228495 0.54734543 0.00100049
0.69357104 0.54744137 0.00096704
0.69484234 0.54754231 0.00093427
0.69612843 0.54764602 0.00090277
0.69741452 0.54774816 0.00087379
0.69868582 0.54784261 0.00084888
0.69997191 0.54792626 0.00082804
0.70124322 0.54800099 0.00081006
0.70252931 0.54807303 0.00079264
0.70380061 0.54814858 0.00077381
0.70508670 0.54822770 0.00075474
0.70635801 0.54830975 0.00073653
0.70764409 0.54839628 0.00071907
0.70893018 0.54849078 0.00070128
0.71020149 0.54859609 0.00068214
0.71148758 0.54871480 0.00066094
0.71275888 0.54884807 0.00063757
0.71404497 0.54899001 0.00061430
0.71531627 0.54913092 0.00059413
0.71660236 0.54925981 0.00057960
0.71787367 0.54937143 0.00057137
0.71915976 0.54947018 0.00056742
0.72043106 0.54956250 0.00056519
0.72171715 0.54965178 0.00056343
0.72298845 0.54973906 0.00056198
0.72427454 0.54982355 0.00056110
0.72554585 0.54990457 0.00056107
0.72683194 0.54998385 0.00056174
0.72810324 0.55006633 0.00056227
0.72938933 0.55015823 0.00056170
0.73066064 0.55026283 0.00055969
0.73194672 0.55037818 0.00055675
0.73321803 0.55049781 0.00055364
0.73450412 0.55061579 0.00055139
0.73577542 0.55072895 0.00055058
0.73706151 0.55083654 0.00055110
0.73833282 0.55093932 0.00055277
0.73961890 0.55103795 0.00055530
0.74089021 0.55113328 0.00055845
0.74217630 0.55122611 0.00056208
0.74344760 0.55131733 0.00056608
0.74473369 0.55140815 0.00057025
0.74600500 0.55149905 0.00057471
0.74729108 0.55158963 0.00057960
0.74856239 0.55167864 0.00058508
0.74984848 0.55176415 0.00059128
0.75111978 0.55184443 0.00059827
0.75240587 0.55191823 0.00060608
0.75367718 0.55198474 0.00061453
0.75496327 0.55204364 0.00062364
0.75623457 0.55209506 0.00063333
0.75752066 0.55213932 0.00064349
0.75879196 0.55217690 0.00065414
0.76007805 0.55220839 0.00066525
0.76134936 0.55223430 0.00067686
0.76263545 0.55225498 0.00068895
0.76390675 0.55227034 0.00070163
0.76517806 0.55227980 0.00071497
0.76646414 0.55228207 0.00072912
0.76773545 0.55227501 0.00074432
0.76902154 0.55225647 0.00076091
0.77029284 0.55222592 0.00077920
0.77157893 0.55218577 0.00079938
0.77285024 0.55214074 0.00082120
0.77413633 0.55209576 0.00084367
0.77540763 0.55205458 0.00086582
0.77669372 0.55202028 0.00088686
0.77796502 0.55199557 0.00090606
0.77923633 0.55198251 0.00092293
0.78052242 0.55198183 0.00093724
0.78179372 0.55199306 0.00094914
0.78307981 0.55201452 0.00095893
0.78435112 0.55204293 0.00096720
0.78563720 0.55207519 0.00097455
0.78690851 0.55210935 0.00098142
0.78817982 0.55214428 0.00098817
0.78946590 0.55217921 0.00099500
0.79073721 0.55221332 0.00100207
0.79202330 0.55224598 0.00100954
0.79329460 0.55227690 0.00101743
0.79458069 0.55230638 0.00102574
0.79585200 0.55233527 0.00103437
0.79712330 0.55236540 0.00104291
0.79840939 0.55239886 0.00105104
0.79968070 0.55243760 0.00105843
0.80096678 0.55248380 0.00106464
0.80223809 0.55253884 0.00106960
0.80350939 0.55260307 0.00107327
0.80479548 0.55267523 0.00107581
0.80606679 0.55275199 0.00107769
0.80735288 0.55283116 0.00107912
0.80862418 0.55291182 0.00108027
0.80989549 0.55299306 0.00108141
0.81118157 0.55307443 0.00108271
0.81245288 0.55315469 0.00108436
0.81373897 0.55323199 0.00108664
0.81501027 0.55330559 0.00108964
0.81628158 0.55337651 0.00109340
0.81756767 0.55344694 0.00109783
0.81883897 0.55351927 0.00110238
0.82012506 0.55359526 0.00110662
0.82139637 0.55367729 0.00111011
0.82266767 0.55376877 0.00111236
0.82395376 0.55387203 0.00111322
0.82522507 0.55398620 0.00111271
0.82651115 0.55410686 0.00111138
0.82778246 0.55422878 0.00111001
0.82905376 0.55434844 0.00110892
0.83033985 0.55446506 0.00110841
0.83161116 0.55457905 0.00110851
0.83288246 0.55469123 0.00110898
0.83416855 0.55480296 0.00110968
0.83543986 0.55491584 0.00111035
0.83672594 0.55503184 0.00111077
0.83799725 0.55515296 0.00111061
0.83926856 0.55528112 0.00110958
0.84055464 0.55541810 0.00110732
0.84182595 0.55556563 0.00110360
0.84309725 0.55572521 0.00109815
0.84438334 0.55589782 0.00109099
0.84565465 0.55608327 0.00108243
0.84692595 0.55627965 0.00107274
0.84821204 0.55648301 0.00106275
0.84948335 0.55668711 0.00105319
0.85076944 0.55688616 0.00104451
0.85204074 0.55707714 0.00103698
0.85331205 0.55726142 0.00103040
0.85459813 0.55744425 0.00102480
0.85586944 0.55762941 0.00101962
0.85714075 0.55781968 0.00101444
0.85842683 0.55801778 0.00100909
0.85969814 0.55822567 0.00100349
0.86096944 0.55844431 0.00099769
0.86225553 0.55867328 0.00099187
0.86352684 0.55890963 0.00098631
0.86479814 0.55914633 0.00098053
0.86608423 0.55937580 0.00097402
0.86735554 0.55959270 0.00096635
0.86862684 0.55979498 0.00095764
0.86991293 0.55998417 0.00094890
0.87118424 0.56016352 0.00094104
0.87245554 0.56033706 0.00093455
0.87374163 0.56050992 0.00092961
0.87501293 0.56068759 0.00092578
0.87628424 0.56087508 0.00092260
0.87757033 0.56107702 0.00091965
0.87884163 0.56129692 0.00091681
0.88011294 0.56153668 0.00091426
0.88138424 0.56179654 0.00091247
0.88267033 0.56207526 0.00091224
0.88394164 0.56237061 0.00091443
0.88521294 0.56267973 0.00091968
0.88649903 0.56299932 0.00092828
0.88777034 0.56332552 0.00093984
0.88904164 0.56365419 0.00095321
0.89032773 0.56398212 0.00096742
0.89159904 0.56430743 0.00098216
0.89287034 0.56462828 0.00099724
0.89415643 0.56494237 0.00101216
0.89542774 0.56524785 0.00102650
0.89669904 0.56554436 0.00104019
0.89797035 0.56583273 0.00105335
0.89925643 0.56611430 0.00106628
0.90052774 0.56639122 0.00107950
0.90179905 0.56666532 0.00109314
0.90308513 0.56693834 0.00110756
0.90435644 0.56721235 0.00112334
0.90562774 0.56748945 0.00114103
0.90691383 0.56777158 0.00116126
0.90818514 0.56806044 0.00118462
0.90945644 0.56835684 0.00121136
0.91072775 0.56866060 0.00124140
0.91201384 0.56897018 0.00127408
0.91328514 0.56928176 0.00130751
0.91455645 0.56959169 0.00134029
0.91582775 0.56989627 0.00137102
0.91711384 0.57019163 0.00139817
0.91838515 0.57047424 0.00142048
0.91965645 0.57074162 0.00143712
0.92094254 0.57099232 0.00144760
0.92221385 0.57122690 0.00145215
0.92348515 0.57145028 0.00145316
0.92475646 0.57166825 0.00145319
0.92604254 0.57188593 0.00145444
0.92731385 0.57210657 0.00145816
0.92858516 0.57233102 0.00146432
0.92985646 0.57255935 0.00147256
0.93114255 0.57279148 0.00148246
0.93241385 0.57302748 0.00149382
0.93368516 0.57326661 0.00150581
0.93495647 0.57350734 0.00151730
0.93624255 0.57374773 0.00152693
0.93751386 0.57398488 0.00153313
0.93878516 0.57421532 0.00153500
0.94005647 0.57443414 0.00153070
0.94134256 0.57463880 0.00151975
0.94261386 0.57483236 0.00150457
0.94388517 0.57502010 0.00148813
0.94515647 0.57520681 0.00147280
0.94644256 0.57539533 0.00145968
0.94771387 0.57558811 0.00144972
0.94898517 0.57578769 0.00144397
0.95025648 0.57599605 0.00144318
0.95154257 0.57621533 0.00144836
0.95281387 0.57644697 0.00146021
0.95408518 0.57669198 0.00147940
0.95535648 0.57694885 0.00150512
0.95664257 0.57721087 0.00153344
0.95791388 0.57746888 0.00155945
0.95918518 0.57771419 0.00157867
0.96045649 0.57794296 0.00158941
0.96174258 0.57815697 0.00159316
0.96301388 0.57836027 0.00159237
0.96428519 0.57855698 0.00158903
0.96555649 0.57875024 0.00158479
0.96682780 0.57894346 0.00158156
0.96811389 0.57914033 0.00158131
0.96938519 0.57934375 0.00158562
0.97065650 0.57955555 0.00159533
0.97192780 0.57977657 0.00161080
0.97321389 0.58000657 0.00163178
0.97448520 0.58024479 0.00165783
0.97575650 0.58048979 0.00168819
0.97702781 0.58073851 0.00172116
0.97829911 0.58098774 0.00175510
0.97958520 0.58123417 0.00178831
0.98085651 0.58147518 0.00181956
0.98212781 0.58170964 0.00184837
0.98339912 0.58193753 0.00187481
0.98468520 0.58216017 0.00189966
0.98595651 0.58237891 0.00192361
0.98722781 0.58259520 0.00194736
0.98849912 0.58281082 0.00197178
0.98977043 0.58302750 0.00199773
0.99105651 0.58324675 0.00202595
0.99232782 0.58346947 0.00205677
0.99359912 0.58369605 0.00209026
