# s/c   cf_mean    cf_std
0.33918725 0.09625204 0.04632361
0.34048812 0.09597851 0.04631350
0.34177421 0.09575019 0.04630046
0.34306030 0.09558782 0.04628602
0.34434639 0.09551288 0.04627129
0.34563247 0.09551828 0.04625997
0.34693335 0.09557984 0.04625948
0.34821943 0.09560916 0.04626098
0.34950552 0.09553976 0.04626204
0.35079161 0.09537956 0.04626284
0.35207770 0.09513093 0.04624892
0.35336379 0.09483970 0.04623119
0.35466466 0.09456692 0.04621490
0.35595074 0.09438596 0.04620279
0.35723683 0.09435540 0.04620200
0.35852292 0.09441223 0.04620184
0.35980901 0.09445062 0.04619556
0.36109510 0.09446696 0.04618842
0.36238118 0.09448519 0.04618398
0.36368206 0.09449462 0.04618019
0.36496814 0.09443912 0.04617180
0.36625423 0.09428762 0.04615957
0.36754032 0.09407776 0.04614925
0.36882641 0.09388185 0.04613829
0.37011250 0.09380936 0.04614100
0.37139858 0.09387402 0.04615655
0.37269945 0.09394747 0.04616257
0.37398554 0.09395010 0.04616152
0.37527163 0.09388617 0.04615642
0.37655772 0.09377390 0.04614427
0.37784381 0.09364631 0.04612433
0.37912989 0.09355813 0.04610497
0.38041598 0.09355098 0.04609779
0.38170207 0.09353610 0.04609486
0.38298816 0.09342595 0.04609628
0.38428903 0.09327466 0.04611306
0.38557512 0.09313900 0.04613959
0.38686121 0.09303559 0.04616591
0.38814729 0.09296883 0.04618570
0.38943338 0.09294871 0.04619895
0.39071947 0.09298040 0.04620828
0.39200556 0.09302994 0.04621166
0.39329165 0.09306887 0.04621049
0.39457773 0.09310821 0.04620893
0.39586382 0.09316951 0.04620610
0.39714991 0.09326877 0.04620229
0.39843600 0.09338370 0.04620512
0.39973687 0.09343926 0.04621793
0.40102296 0.09328474 0.04622588
0.40230905 0.09291997 0.04623172
0.40359513 0.09254434 0.04625535
0.40488122 0.09232991 0.04630175
0.40616731 0.09227414 0.04634438
0.40745340 0.09229002 0.04636991
0.40873949 0.09228144 0.04638259
0.41002557 0.09214874 0.04638294
0.41131166 0.09189988 0.04637580
0.41259775 0.09170487 0.04638343
0.41388384 0.09165683 0.04640239
0.41516993 0.09165206 0.04640488
0.41645601 0.09169504 0.04639961
0.41774210 0.09190285 0.04639535
0.41902819 0.09239953 0.04639847
0.42031428 0.09304919 0.04640023
0.42160037 0.09347734 0.04637882
0.42288645 0.09350495 0.04634122
0.42417254 0.09333334 0.04633152
0.42545863 0.09319740 0.04635827
0.42674472 0.09312347 0.04639859
0.42803081 0.09306812 0.04642838
0.42931690 0.09303724 0.04644926
0.43060298 0.09307916 0.04647629
0.43188907 0.09318999 0.04650456
0.43317516 0.09333680 0.04652913
0.43446125 0.09349531 0.04654760
0.43574734 0.09365236 0.04656186
0.43703342 0.09380564 0.04657193
0.43831951 0.09395380 0.04657845
0.43960560 0.09409908 0.04658208
0.44089169 0.09423046 0.04658439
0.44217778 0.09433671 0.04659061
0.44346386 0.09439525 0.04660155
0.44474995 0.09437834 0.04660547
0.44603604 0.09436281 0.04660367
0.44732213 0.09453181 0.04662029
