# s/c   P_w_mean    P_w_std
0.92094254 0.44825320 0.00250446
0.92221385 0.44813081 0.00250812
0.92348515 0.44799412 0.00251432
0.92475646 0.44785093 0.00252041
0.92604254 0.44770781 0.00252465
0.92731385 0.44756834 0.00252633
0.92858516 0.44743386 0.00252556
0.92985646 0.44730426 0.00252305
0.93114255 0.44717911 0.00251941
0.93241385 0.44705791 0.00251528
0.93368516 0.44693943 0.00251158
0.93495647 0.44682062 0.00250975
0.93624255 0.44669797 0.00251153
0.93751386 0.44656812 0.00251772
0.93878516 0.44642647 0.00252890
0.94005647 0.44626678 0.00254617
0.94134256 0.44608529 0.00256952
0.94261386 0.44588566 0.00259675
0.94388517 0.44567500 0.00262525
0.94515647 0.44545909 0.00265352
0.94644256 0.44524311 0.00268041
0.94771387 0.44503139 0.00270502
0.94898517 0.44482783 0.00272664
0.95025648 0.44463633 0.00274435
0.95154257 0.44446045 0.00275741
0.95281387 0.44430306 0.00276506
0.95408518 0.44416592 0.00276679
0.95535648 0.44404664 0.00276402
0.95664257 0.44393720 0.00276030
0.95791388 0.44382520 0.00276040
0.95918518 0.44369749 0.00276846
0.96045649 0.44354741 0.00278570
0.96174258 0.44337619 0.00281067
0.96301388 0.44318857 0.00284145
0.96428519 0.44298935 0.00287672
0.96555649 0.44278356 0.00291507
0.96682780 0.44257648 0.00295500
0.96811389 0.44237352 0.00299483
0.96938519 0.44217966 0.00303315
0.97065650 0.44199859 0.00306898
0.97192780 0.44183252 0.00310187
0.97321389 0.44168254 0.00313181
0.97448520 0.44154850 0.00315906
0.97575650 0.44142849 0.00318455
0.97702781 0.44131933 0.00320951
0.97829911 0.44121649 0.00323545
0.97958520 0.44111474 0.00326402
0.98085651 0.44100982 0.00329628
0.98212781 0.44089928 0.00333267
0.98339912 0.44078275 0.00337300
0.98468520 0.44066114 0.00341683
0.98595651 0.44053609 0.00346379
0.98722781 0.44041007 0.00351314
0.98849912 0.44028584 0.00356419
0.98977043 0.44016634 0.00361640
0.99105651 0.44005446 0.00366907
0.99232782 0.43995247 0.00372183
0.99359912 0.43986216 0.00377457
