# s/c   cf_mean    cf_std
0.57316659 0.08514518 0.03778858
0.57443789 0.08507604 0.03778305
0.57572398 0.08510389 0.03778044
0.57701007 0.08522579 0.03777497
0.57829616 0.08542519 0.03776828
0.57956746 0.08564474 0.03775572
0.58085355 0.08581227 0.03773585
0.58213964 0.08585996 0.03770373
0.58341094 0.08576574 0.03765551
0.58469703 0.08557112 0.03760310
0.58598312 0.08534523 0.03755981
0.58726921 0.08514114 0.03753307
0.58854051 0.08498030 0.03751653
0.58982660 0.08488605 0.03751180
0.59111269 0.08483224 0.03751128
0.59239878 0.08474322 0.03749634
0.59367008 0.08457797 0.03746518
0.59495617 0.08438226 0.03743660
0.59624226 0.08421514 0.03742014
0.59751356 0.08412296 0.03741920
0.59879965 0.08412447 0.03743185
0.60008574 0.08420684 0.03744759
0.60137183 0.08434863 0.03746464
0.60264313 0.08450200 0.03747508
0.60392922 0.08460647 0.03747629
0.60521531 0.08459896 0.03745854
0.60648661 0.08445044 0.03742036
0.60777270 0.08418145 0.03736647
0.60905879 0.08385999 0.03731140
0.61033010 0.08359280 0.03728034
0.61161618 0.08343153 0.03726928
0.61290227 0.08336929 0.03726839
0.61417358 0.08337434 0.03727065
0.61545967 0.08339344 0.03726740
0.61674575 0.08340547 0.03726205
0.61801706 0.08341224 0.03725900
0.61930315 0.08340935 0.03725612
0.62058924 0.08339719 0.03725377
0.62187532 0.08337860 0.03724837
0.62314663 0.08338248 0.03724393
0.62443272 0.08343457 0.03724333
0.62571880 0.08352576 0.03724103
0.62699011 0.08360682 0.03723256
0.62827620 0.08360641 0.03720753
0.62954750 0.08347705 0.03716256
0.63083359 0.08323916 0.03711082
0.63211968 0.08293703 0.03706107
0.63339099 0.08260312 0.03701738
0.63467707 0.08227538 0.03698528
0.63596316 0.08199040 0.03696726
0.63723447 0.08177528 0.03696144
0.63852056 0.08164632 0.03696552
0.63980664 0.08162113 0.03697991
0.64107795 0.08169124 0.03700225
0.64236404 0.08181171 0.03702167
0.64365012 0.08194150 0.03703396
0.64492143 0.08206610 0.03704184
0.64620752 0.08217865 0.03704531
0.64749361 0.08227566 0.03704658
0.64876491 0.08234978 0.03704504
0.65005100 0.08239494 0.03704067
0.65132231 0.08240419 0.03703278
0.65260839 0.08237165 0.03702132
0.65389448 0.08228926 0.03700374
0.65516579 0.08215402 0.03698046
0.65645188 0.08197203 0.03695285
0.65772318 0.08175893 0.03692588
0.65900927 0.08153818 0.03690721
0.66029536 0.08131241 0.03689509
0.66156666 0.08106958 0.03688733
0.66285275 0.08078464 0.03687549
0.66413884 0.08045723 0.03685883
0.66541014 0.08013186 0.03685038
0.66669623 0.07986442 0.03686288
0.66796754 0.07968198 0.03689657
0.66925363 0.07957197 0.03694049
0.67053971 0.07951387 0.03698356
0.67181102 0.07949053 0.03702331
0.67309711 0.07947530 0.03705696
0.67436841 0.07940583 0.03707794
0.67565450 0.07922426 0.03707665
0.67692581 0.07894185 0.03706198
0.67821189 0.07860394 0.03704950
0.67949798 0.07823405 0.03704029
0.68076929 0.07783446 0.03703137
0.68205538 0.07740158 0.03701541
0.68332668 0.07696085 0.03699704
0.68461277 0.07658114 0.03699472
0.68589886 0.07633105 0.03702563
0.68717016 0.07619115 0.03707633
0.68845625 0.07608133 0.03712340
