# s/c   h_mean    h_std
0.54750395 -191.35691397 112.43044348
0.54879004 -191.36818808 112.45929303
0.55007613 -191.46291092 112.53976424
0.55134744 -191.78672838 112.72586592
0.55263352 -192.33638647 113.00396002
0.55391961 -192.96213082 113.30092948
0.55520570 -193.47426495 113.54030224
0.55649179 -193.79243328 113.68773301
0.55776309 -194.00403719 113.78514166
0.55904918 -194.28100977 113.91626988
0.56033527 -194.76613250 114.14400898
0.56162136 -195.52643051 114.49088382
0.56289266 -196.46048222 114.90790885
0.56417875 -197.43680710 115.33868820
0.56546484 -198.33792384 115.73164274
0.56675093 -199.08008702 116.04914453
0.56803702 -199.63017038 116.27419843
0.56930832 -199.96318208 116.39742860
0.57059441 -200.10796701 116.43867799
0.57188050 -200.14294134 116.44756728
0.57316659 -200.19034582 116.48704153
0.57443789 -200.36497115 116.59565861
0.57572398 -200.76832649 116.80192403
0.57701007 -201.46112520 117.11177026
0.57829616 -202.46513488 117.52991500
0.57956746 -203.66160942 118.01031557
0.58085355 -204.85970030 118.49065093
0.58213964 -205.86330415 118.89751655
0.58341094 -206.54681767 119.16370903
0.58469703 -206.93215037 119.29847672
0.58598312 -207.10220040 119.33960465
0.58726921 -207.14783121 119.33758774
0.58854051 -207.16977792 119.34005795
0.58982660 -207.25714757 119.38079048
0.59111269 -207.38436303 119.44170522
0.59239878 -207.41775910 119.45293730
0.59367008 -207.25102199 119.37190844
0.59495617 -206.96076335 119.23931090
0.59624226 -206.69175349 119.11743907
0.59751356 -206.57717141 119.06121293
0.59879965 -206.71121308 119.10888119
0.60008574 -207.12741755 119.26632399
0.60137183 -207.81238899 119.52642885
0.60264313 -208.66796325 119.84551108
0.60392922 -209.51899039 120.15815607
0.60521531 -210.16719474 120.38067745
0.60648661 -210.44871812 120.43425523
0.60777270 -210.32964949 120.30669404
0.60905879 -209.91046311 120.04678587
0.61033010 -209.41299067 119.76486039
0.61161618 -209.05397389 119.55011493
0.61290227 -208.93347724 119.43075490
0.61417358 -209.05419005 119.40003898
0.61545967 -209.34154490 119.42742397
0.61674575 -209.73869249 119.49742983
0.61801706 -210.23150313 119.60978689
0.61930315 -210.79417378 119.75393705
0.62058924 -211.39524421 119.91618045
0.62187532 -212.03100671 120.09563127
0.62314663 -212.75807316 120.31629774
0.62443272 -213.64431903 120.60172816
