# s/c   P_w_mean    P_w_std
0.39200556 0.63202082 0.00050916
0.39329165 0.63170319 0.00053489
0.39457773 0.63137305 0.00055995
0.39586382 0.63102728 0.00058460
0.39714991 0.63066086 0.00060860
0.39843600 0.63027147 0.00063237
0.39973687 0.62987313 0.00065522
0.40102296 0.62949915 0.00067399
0.40230905 0.62918291 0.00068569
0.40359513 0.62892715 0.00069248
0.40488122 0.62869648 0.00070467
0.40616731 0.62845894 0.00072553
0.40745340 0.62820277 0.00075084
0.40873949 0.62793216 0.00077682
0.41002557 0.62766914 0.00079917
0.41131166 0.62743221 0.00081631
0.41259775 0.62721511 0.00083088
0.41388384 0.62699369 0.00084772
0.41516993 0.62675374 0.00086677
0.41645601 0.62649392 0.00088704
0.41774210 0.62619017 0.00091256
0.41902819 0.62580720 0.00094526
0.42031428 0.62532357 0.00098504
0.42160037 0.62477125 0.00102584
0.42288645 0.62422896 0.00105689
0.42417254 0.62373096 0.00107533
0.42545863 0.62326845 0.00108706
0.42674472 0.62282587 0.00109923
0.42803081 0.62239064 0.00111257
0.42931690 0.62195788 0.00112579
0.43060298 0.62151900 0.00114074
0.43188907 0.62106379 0.00115936
0.43317516 0.62058806 0.00118188
0.43446125 0.62009335 0.00120679
0.43574734 0.61958234 0.00123307
0.43703342 0.61905755 0.00125993
0.43831951 0.61852129 0.00128622
0.43960560 0.61797544 0.00131124
0.44089169 0.61742136 0.00133497
0.44217778 0.61686341 0.00135733
0.44346386 0.61631329 0.00137708
0.44474995 0.61578049 0.00139313
0.44603604 0.61526180 0.00140646
0.44732213 0.61473007 0.00142465
0.44860822 0.61414401 0.00145572
0.44989430 0.61347930 0.00150039
0.45118039 0.61276344 0.00155106
0.45246648 0.61207430 0.00159049
0.45375257 0.61144440 0.00161333
0.45503866 0.61086222 0.00162686
0.45632474 0.61032592 0.00163476
0.45761083 0.60983599 0.00163730
0.45889692 0.60940805 0.00162949
0.46018301 0.60904241 0.00161305
0.46146910 0.60870210 0.00160025
0.46275519 0.60834552 0.00159932
0.46404127 0.60792860 0.00161480
0.46532736 0.60745257 0.00164151
0.46661345 0.60698050 0.00166400
0.46789954 0.60654619 0.00167683
0.46917084 0.60614342 0.00168392
0.47045693 0.60574681 0.00169551
0.47174302 0.60532957 0.00171753
0.47302911 0.60489066 0.00174633
0.47431520 0.60444506 0.00177634
0.47560128 0.60401041 0.00180152
0.47688737 0.60360015 0.00181961
0.47817346 0.60321696 0.00183160
0.47945955 0.60285414 0.00184028
0.48074564 0.60249707 0.00184996
0.48203172 0.60212996 0.00186376
0.48331781 0.60173912 0.00188391
0.48460390 0.60132444 0.00190990
0.48587521 0.60090572 0.00193589
0.48716129 0.60049967 0.00195786
0.48844738 0.60011358 0.00197471
0.48973347 0.59974776 0.00198717
0.49101956 0.59939624 0.00199800
0.49230565 0.59905240 0.00200961
0.49359173 0.59871032 0.00202328
0.49487782 0.59836496 0.00203940
0.49616391 0.59801214 0.00205844
0.49743522 0.59765060 0.00207993
0.49872130 0.59728174 0.00210304
0.50000739 0.59690960 0.00212672
0.50129348 0.59654093 0.00214917
0.50257957 0.59618230 0.00216926
0.50386566 0.59583866 0.00218598
0.50515174 0.59551355 0.00219883
0.50643783 0.59520514 0.00220915
0.50770914 0.59490373 0.00221979
0.50899523 0.59460139 0.00223291
0.51028131 0.59429511 0.00224885
0.51156740 0.59398852 0.00226605
0.51285349 0.59369283 0.00228090
0.51413958 0.59341610 0.00229196
0.51542567 0.59316168 0.00229919
0.51669697 0.59292910 0.00230298
0.51798306 0.59270996 0.00230639
0.51926915 0.59248937 0.00231371
0.52055524 0.59225123 0.00232753
0.52184132 0.59198716 0.00234835
0.52312741 0.59169744 0.00237490
0.52439872 0.59139799 0.00240197
0.52568480 0.59112214 0.00242189
0.52697089 0.59089128 0.00242831
0.52825698 0.59070846 0.00242182
0.52954307 0.59056023 0.00241040
0.53082916 0.59041141 0.00240304
0.53210046 0.59023444 0.00240634
0.53338655 0.59002162 0.00241977
0.53467264 0.58979046 0.00243526
0.53595873 0.58957516 0.00244501
0.53724481 0.58938999 0.00244534
0.53853090 0.58922880 0.00243819
0.53980221 0.58906885 0.00243324
0.54108830 0.58887899 0.00243882
0.54237438 0.58864981 0.00245414
0.54366047 0.58839472 0.00247420
0.54494656 0.58813561 0.00249271
0.54621787 0.58789010 0.00250471
0.54750395 0.58766992 0.00250755
0.54879004 0.58747227 0.00250403
0.55007613 0.58727416 0.00250177
0.55134744 0.58705927 0.00250428
0.55263352 0.58681941 0.00251239
0.55391961 0.58655674 0.00252386
0.55520570 0.58628998 0.00253227
0.55649179 0.58603531 0.00253427
0.55776309 0.58579642 0.00252991
0.55904918 0.58556465 0.00252252
0.56033527 0.58532102 0.00251882
0.56162136 0.58505347 0.00252187
0.56289266 0.58476260 0.00253028
0.56417875 0.58445660 0.00254115
0.56546484 0.58415114 0.00255053
0.56675093 0.58385822 0.00255531
0.56803702 0.58358599 0.00255399
0.56930832 0.58334076 0.00254526
0.57059441 0.58312484 0.00252938
0.57188050 0.58293352 0.00250973
0.57316659 0.58275418 0.00249023
0.57443789 0.58257348 0.00247438
0.57572398 0.58237920 0.00246371
0.57701007 0.58215959 0.00245879
0.57829616 0.58190883 0.00245901
0.57956746 0.58162715 0.00246365
0.58085355 0.58132447 0.00247097
0.58213964 0.58102385 0.00247437
0.58341094 0.58074343 0.00246984
0.58469703 0.58049091 0.00245634
0.58598312 0.58026814 0.00243415
0.58726921 0.58006866 0.00240714
0.58854051 0.57987975 0.00238022
0.58982660 0.57969261 0.00235543
0.59111269 0.57950253 0.00233372
0.59239878 0.57931292 0.00231282
0.59367008 0.57913610 0.00228790
0.59495617 0.57897892 0.00225771
0.59624226 0.57883701 0.00222484
0.59751356 0.57869669 0.00219527
0.59879965 0.57854670 0.00217213
0.60008574 0.57837835 0.00215683
0.60137183 0.57818663 0.00214960
0.60264313 0.57797308 0.00214911
0.60392922 0.57774654 0.00215250
0.60521531 0.57752522 0.00215335
0.60648661 0.57732628 0.00214681
0.60777270 0.57716299 0.00212849
0.60905879 0.57703823 0.00209796
0.61033010 0.57693877 0.00206183
0.61161618 0.57684639 0.00202656
0.61290227 0.57674658 0.00199592
0.61417358 0.57663240 0.00197078
0.61545967 0.57650494 0.00195009
0.61674575 0.57636895 0.00193255
0.61801706 0.57622914 0.00191691
0.61930315 0.57608781 0.00190338
0.62058924 0.57594736 0.00189150
0.62187532 0.57580909 0.00188033
0.62314663 0.57566887 0.00187125
0.62443272 0.57552021 0.00186560
0.62571880 0.57535822 0.00186403
0.62699011 0.57518363 0.00186524
0.62827620 0.57500795 0.00186463
0.62954750 0.57484971 0.00185664
0.63083359 0.57472125 0.00183751
0.63211968 0.57462560 0.00180758
0.63339099 0.57456256 0.00176809
0.63467707 0.57452824 0.00172115
0.63596316 0.57451241 0.00167183
0.63723447 0.57450472 0.00162369
0.63852056 0.57449469 0.00157956
0.63980664 0.57446980 0.00154297
0.64107795 0.57442134 0.00151553
0.64236404 0.57434626 0.00149741
0.64365012 0.57424752 0.00148707
0.64492143 0.57413145 0.00148154
0.64620752 0.57400232 0.00147970
0.64749361 0.57386317 0.00148090
0.64876491 0.57371764 0.00148392
0.65005100 0.57356932 0.00148777
0.65132231 0.57342204 0.00149123
0.65260839 0.57328008 0.00149283
0.65389448 0.57314780 0.00149105
0.65516579 0.57302935 0.00148441
0.65645188 0.57292907 0.00147109
0.65772318 0.57284747 0.00145160
0.65900927 0.57278300 0.00142731
0.66029536 0.57273324 0.00139982
0.66156666 0.57269818 0.00136971
0.66285275 0.57268288 0.00133520
0.66413884 0.57269124 0.00129498
0.66541014 0.57272197 0.00125018
0.66669623 0.57276501 0.00120584
0.66796754 0.57280857 0.00116724
0.66925363 0.57284433 0.00113709
0.67053971 0.57286657 0.00111636
0.67181102 0.57287357 0.00110372
0.67309711 0.57286632 0.00109769
0.67436841 0.57285262 0.00109482
0.67565450 0.57284910 0.00108796
0.67692581 0.57286894 0.00107315
0.67821189 0.57291529 0.00105008
0.67949798 0.57298815 0.00101908
0.68076929 0.57308828 0.00098026
0.68205538 0.57321579 0.00093342
0.68332668 0.57336929 0.00087912
0.68461277 0.57353961 0.00082144
0.68589886 0.57370943 0.00076788
0.68717016 0.57386456 0.00072393
0.68845625 0.57400234 0.00069035
0.68972756 0.57413008 0.00066367
0.69101364 0.57425490 0.00064044
0.69228495 0.57438015 0.00061937
0.69357104 0.57450844 0.00059928
0.69484234 0.57464099 0.00057931
0.69612843 0.57477553 0.00056001
0.69741452 0.57490760 0.00054277
0.69868582 0.57503112 0.00052915
0.69997191 0.57514310 0.00051916
0.70124322 0.57524558 0.00051149
0.70252931 0.57534501 0.00050375
0.70380061 0.57544768 0.00049416
0.70508670 0.57555334 0.00048388
0.70635801 0.57566111 0.00047400
0.70764409 0.57577265 0.00046436
0.70893018 0.57589144 0.00045381
0.71020149 0.57602035 0.00044142
0.71148758 0.57616192 0.00042646
0.71275888 0.57631730 0.00040889
