# s/c    M_iso
0.76517806 1.06953087
0.76390675 1.06924426
0.76263545 1.06896336
0.76134936 1.06868926
0.76007805 1.06842253
0.75879196 1.06816342
0.75752066 1.06791205
0.75623457 1.06766851
0.75496327 1.06743289
0.75367718 1.06720533
0.75240587 1.06698604
0.75111978 1.06677520
0.74984848 1.06657293
0.74856239 1.06637899
0.74729108 1.06619237
0.74600500 1.06601099
0.74473369 1.06583171
0.74344760 1.06565093
0.74217630 1.06546511
0.74089021 1.06527089
0.73961890 1.06506582
0.73833282 1.06484801
0.73706151 1.06461628
0.73577542 1.06437008
0.73450412 1.06411041
0.73321803 1.06383974
0.73194672 1.06356286
0.73066064 1.06328759
0.72938933 1.06301964
0.72810324 1.06276267
0.72683194 1.06251777
0.72554585 1.06228268
0.72427454 1.06205350
0.72298845 1.06182547
0.72171715 1.06159417
0.72043106 1.06135448
0.71915976 1.06109997
0.71787367 1.06082407
0.71660236 1.06052045
0.71531627 1.06018627
0.71404497 1.05982716
0.71275888 1.05945279
0.71148758 1.05907187
0.71020149 1.05869019
0.70893018 1.05831025
0.70764409 1.05793427
0.70635801 1.05756460
0.70508670 1.05720408
0.70380061 1.05685523
0.70252931 1.05651711
0.70124322 1.05618170
0.69997191 1.05583567
0.69868582 1.05546792
0.69741452 1.05507413
0.69612843 1.05465601
0.69484234 1.05421760
0.69357104 1.05376265
0.69228495 1.05329315
0.69101364 1.05280982
0.68972756 1.05231279
0.68845625 1.05180101
0.68717016 1.05127196
0.68589886 1.05072466
0.68461277 1.05016505
0.68332668 1.04960263
0.68205538 1.04904368
0.68076929 1.04848944
0.67949798 1.04793853
0.67821189 1.04739062
0.67692581 1.04684394
0.67565450 1.04629767
0.67436841 1.04574663
0.67309711 1.04517614
0.67181102 1.04457361
0.67053971 1.04393188
0.66925363 1.04325131
0.66796754 1.04254001
0.66669623 1.04181041
0.66541014 1.04107721
0.66413884 1.04035351
0.66285275 1.03964740
0.66156666 1.03896055
0.66029536 1.03828988
0.65900927 1.03763028
0.65772318 1.03697856
0.65645188 1.03633339
0.65516579 1.03569289
0.65389448 1.03505380
0.65260839 1.03441311
0.65132231 1.03376821
0.65005100 1.03311641
0.64876491 1.03245601
0.64749361 1.03178514
0.64620752 1.03110273
0.64492143 1.03040854
0.64365012 1.02970089
0.64236404 1.02897832
0.64107795 1.02823855
0.63980664 1.02748045
0.63852056 1.02670843
0.63723447 1.02593095
0.63596316 1.02515844
0.63467707 1.02439952
0.63339099 1.02366154
0.63211968 1.02295059
0.63083359 1.02226850
0.62954750 1.02161350
0.62827620 1.02097981
0.62699011 1.02035397
0.62571880 1.01971680
0.62443272 1.01905624
0.62314663 1.01837139
0.62187532 1.01766907
0.62058924 1.01695823
0.61930315 1.01624544
0.61801706 1.01553489
0.61674575 1.01482824
0.61545967 1.01412596
0.61417358 1.01342430
0.61290227 1.01271704
0.61161618 1.01200204
0.61033010 1.01128586
0.60905879 1.01058076
0.60777270 1.00989924
0.60648661 1.00924824
0.60521531 1.00862539
0.60392922 1.00802058
0.60264313 1.00741766
0.60137183 1.00680366
0.60008574 1.00617185
0.59879965 1.00552334
0.59751356 1.00486849
0.59624226 1.00422197
0.59495617 1.00359903
0.59367008 1.00300948
0.59239878 1.00245315
0.59111269 1.00191965
0.58982660 1.00139625
0.58854051 1.00088016
0.58726921 1.00037576
0.58598312 0.99989093
0.58469703 0.99943658
0.58341094 0.99901574
0.58213964 0.99862673
0.58085355 0.99826118
0.57956746 0.99789841
0.57829616 0.99751597
0.57701007 0.99709822
0.57572398 0.99664121
0.57443789 0.99615166
0.57316659 0.99564283
0.57188050 0.99512926
0.57059441 0.99462424
0.56930832 0.99413882
0.56803702 0.99367675
0.56675093 0.99323738
0.56546484 0.99281702
0.56417875 0.99240938
0.56289266 0.99200466
0.56162136 0.99159055
0.56033527 0.99115994
0.55904918 0.99071471
0.55776309 0.99026562
0.55649179 0.98982339
0.55520570 0.98939268
0.55391961 0.98896616
0.55263352 0.98852580
0.55134744 0.98805461
0.55007613 0.98754972
0.54879004 0.98701902
0.54750395 0.98647635
0.54621787 0.98593803
0.54494656 0.98540670
0.54366047 0.98487497
0.54237438 0.98433058
0.54108830 0.98376006
0.53980221 0.98315648
0.53853090 0.98253232
0.53724481 0.98191269
0.53595873 0.98131275
0.53467264 0.98073760
0.53338655 0.98017507
