# s/c   M_is_mean    M_is_std
0.38428903 0.87435706 0.00283883
0.38557512 0.87492298 0.00286835
0.38686121 0.87549498 0.00290872
0.38814729 0.87609382 0.00295888
0.38943338 0.87673435 0.00301654
0.39071947 0.87742094 0.00307913
0.39200556 0.87814659 0.00314360
0.39329165 0.87890485 0.00320821
0.39457773 0.87970005 0.00327312
0.39586382 0.88053980 0.00333737
0.39714991 0.88142747 0.00340149
0.39843600 0.88233746 0.00346498
0.39973687 0.88320454 0.00352145
0.40102296 0.88396524 0.00356430
0.40230905 0.88460986 0.00359576
0.40359513 0.88519916 0.00363311
0.40488122 0.88580114 0.00368493
0.40616731 0.88644666 0.00374711
0.40745340 0.88713383 0.00381540
0.40873949 0.88781856 0.00387953
0.41002557 0.88845651 0.00393251
0.41131166 0.88905455 0.00397861
0.41259775 0.88965166 0.00402542
0.41388384 0.89026823 0.00407448
0.41516993 0.89090050 0.00412332
0.41645601 0.89159288 0.00417752
0.41774210 0.89243615 0.00424951
0.41902819 0.89349475 0.00434375
0.42031428 0.89470869 0.00444627
0.42160037 0.89592449 0.00453336
0.42288645 0.89707291 0.00459784
0.42417254 0.89816800 0.00465124
0.42545863 0.89924168 0.00470771
0.42674472 0.90031435 0.00476914
0.42803081 0.90138389 0.00483008
0.42931690 0.90245402 0.00489038
0.43060298 0.90354224 0.00495397
0.43188907 0.90467034 0.00502572
0.43317516 0.90585002 0.00510703
0.43446125 0.90707968 0.00519526
0.43574734 0.90835482 0.00528794
0.43703342 0.90967336 0.00538442
0.43831951 0.91102779 0.00548147
0.43960560 0.91241152 0.00557832
0.44089169 0.91380734 0.00567335
0.44217778 0.91518163 0.00576153
0.44346386 0.91651157 0.00584020
0.44474995 0.91780868 0.00591312
0.44603604 0.91914284 0.00599929
0.44732213 0.92060172 0.00611409
0.44860822 0.92223168 0.00625708
0.44989430 0.92397874 0.00641385
0.45118039 0.92569076 0.00655264
0.45246648 0.92730073 0.00666250
0.45375257 0.92883195 0.00675852
0.45503866 0.93029571 0.00685177
0.45632474 0.93168303 0.00693838
0.45761083 0.93295121 0.00700444
