# s/c    P_stat_mean   P_stat_std
0.38943338 0.60528560 0.00140781
0.39071947 0.60483884 0.00144371
0.39200556 0.60436921 0.00148169
0.39329165 0.60387979 0.00152024
0.39457773 0.60337370 0.00155858
0.39586382 0.60284861 0.00159678
0.39714991 0.60230021 0.00163451
0.39843600 0.60172711 0.00167199
0.39973687 0.60114395 0.00170827
0.40102296 0.60058379 0.00174052
0.40230905 0.60008054 0.00176606
0.40359513 0.59963759 0.00178707
0.40488122 0.59922076 0.00181299
0.40616731 0.59879782 0.00184735
0.40745340 0.59835578 0.00188640
0.40873949 0.59789915 0.00192572
0.41002557 0.59744984 0.00196114
0.41131166 0.59702678 0.00199112
0.41259775 0.59662427 0.00201822
0.41388384 0.59621763 0.00204749
0.41516993 0.59579005 0.00207932
0.41645601 0.59533682 0.00211355
0.41774210 0.59483149 0.00215434
0.41902819 0.59423674 0.00220390
0.42031428 0.59353039 0.00226173
0.42160037 0.59274461 0.00232097
0.42288645 0.59195853 0.00237103
0.42417254 0.59120760 0.00240952
0.42545863 0.59048592 0.00244197
0.42674472 0.58978060 0.00247537
0.42803081 0.58907984 0.00251013
0.42931690 0.58837823 0.00254526
0.43060298 0.58766561 0.00258304
0.43188907 0.58693006 0.00262527
0.43317516 0.58616532 0.00267269
0.43446125 0.58537256 0.00272397
0.43574734 0.58455491 0.00277778
0.43703342 0.58371530 0.00283321
0.43831951 0.58285712 0.00288912
0.43960560 0.58198327 0.00294461
0.44089169 0.58109636 0.00299945
0.44217778 0.58020086 0.00305377
0.44346386 0.57930698 0.00310667
0.44474995 0.57842287 0.00315755
0.44603604 0.57754440 0.00320772
0.44732213 0.57664464 0.00326435
0.44860822 0.57568375 0.00333474
0.44989430 0.57463783 0.00341938
0.45118039 0.57353461 0.00351056
0.45246648 0.57245208 0.00359154
0.45375257 0.57142487 0.00365701
0.45503866 0.57044555 0.00371345
0.45632474 0.56951478 0.00376406
0.45761083 0.56863560 0.00380828
0.45889692 0.56782440 0.00384137
0.46018301 0.56708091 0.00386543
0.46146910 0.56636887 0.00389204
0.46275519 0.56564391 0.00393007
0.46404127 0.56485922 0.00398471
0.46532736 0.56401459 0.00405102
0.46661345 0.56317005 0.00411460
0.46789954 0.56235942 0.00417035
0.46917084 0.56157747 0.00422212
0.47045693 0.56079902 0.00427975
0.47174302 0.55999788 0.00434904
0.47302911 0.55917341 0.00442619
0.47431520 0.55834152 0.00450541
0.47560128 0.55752125 0.00458076
0.47688737 0.55672823 0.00464938
0.47817346 0.55596666 0.00471210
0.47945955 0.55523006 0.00477198
0.48074564 0.55450459 0.00483291
0.48203172 0.55377372 0.00489807
0.48331781 0.55302305 0.00496989
0.48460390 0.55225232 0.00504773
0.48587521 0.55147975 0.00512626
0.48716129 0.55072198 0.00520162
0.48844738 0.54998669 0.00527274
0.48973347 0.54927396 0.00534040
0.49101956 0.54857814 0.00540720
0.49230565 0.54789251 0.00547561
0.49359173 0.54721088 0.00554672
0.49487782 0.54652808 0.00562101
0.49616391 0.54583983 0.00569897
0.49743522 0.54514474 0.00578004
0.49872130 0.54444472 0.00586340
0.50000739 0.54374436 0.00594771
0.50129348 0.54305059 0.00603126
0.50257957 0.54237101 0.00611291
0.50386566 0.54171172 0.00619142
0.50515174 0.54107676 0.00626616
0.50643783 0.54046488 0.00633837
0.50770914 0.53986776 0.00641054
0.50899523 0.53927741 0.00648463
0.51028131 0.53869093 0.00656100
0.51156740 0.53811270 0.00663774
