# s/c    P_stat
1.04709743 0.44006324
1.04582613 0.43991241
1.04455482 0.43976618
1.04328352 0.43962241
1.04201221 0.43947924
1.04072612 0.43933449
1.03945482 0.43918645
1.03818351 0.43903337
1.03691221 0.43887326
1.03564090 0.43870542
1.03436960 0.43853045
1.03309829 0.43835129
1.03181220 0.43817267
1.03054090 0.43799965
1.02926959 0.43783629
1.02799829 0.43768625
1.02672698 0.43755358
1.02545567 0.43744072
1.02416959 0.43734827
1.02289828 0.43727310
1.02162698 0.43720910
1.02035567 0.43715014
1.01908436 0.43709214
1.01779828 0.43703432
1.01652697 0.43697753
1.01525567 0.43692333
1.01398436 0.43687357
1.01271305 0.43682995
1.01144175 0.43679394
1.01015566 0.43676673
1.00888436 0.43674927
1.00761305 0.43674222
1.00634174 0.43674595
1.00507044 0.43676058
1.00378435 0.43678633
1.00251305 0.43682420
1.00124174 0.43687676
0.99997043 0.43694750
0.99869913 0.43703947
0.99742782 0.43715410
0.99614174 0.43728971
0.99487043 0.43744326
0.99359912 0.43761242
0.99232782 0.43779535
0.99105651 0.43799025
0.98977043 0.43819482
0.98849912 0.43840588
0.98722781 0.43861939
0.98595651 0.43883122
0.98468520 0.43903746
0.98339912 0.43923473
0.98212781 0.43942088
0.98085651 0.43959481
0.97958520 0.43975730
0.97829911 0.43991245
0.97702781 0.44006716
0.97575650 0.44023006
0.97448520 0.44040836
0.97321389 0.44060724
0.97192780 0.44083001
0.97065650 0.44107618
0.96938519 0.44134325
0.96811389 0.44162643
0.96682780 0.44191739
0.96555649 0.44220561
0.96428519 0.44248119
0.96301388 0.44273603
0.96174258 0.44296240
0.96045649 0.44315366
0.95918518 0.44330297
0.95791388 0.44341114
0.95664257 0.44349575
0.95535648 0.44358251
0.95408518 0.44369287
0.95281387 0.44383696
0.95154257 0.44401483
0.95025648 0.44422230
0.94898517 0.44445414
0.94771387 0.44470514
0.94644256 0.44496902
0.94515647 0.44523909
0.94388517 0.44550802
0.94261386 0.44576684
0.94134256 0.44600474
0.94005647 0.44620793
0.93878516 0.44636744
0.93751386 0.44648578
0.93624255 0.44657343
0.93495647 0.44664303
0.93368516 0.44670737
0.93241385 0.44677664
0.93114255 0.44685468
0.92985646 0.44694312
0.92858516 0.44704332
0.92731385 0.44715577
0.92604254 0.44728036
0.92475646 0.44741420
0.92348515 0.44755107
0.92221385 0.44767994
0.92094254 0.44778792
0.91965645 0.44786829
0.91838515 0.44792047
0.91711384 0.44794842
0.91582775 0.44795949
0.91455645 0.44796195
0.91328514 0.44796511
0.91201384 0.44797709
0.91072775 0.44800565
0.90945644 0.44805837
0.90818514 0.44813783
0.90691383 0.44824356
0.90562774 0.44837329
0.90435644 0.44852262
0.90308513 0.44868700
0.90179905 0.44886114
0.90052774 0.44904100
0.89925643 0.44922264
0.89797035 0.44940126
0.89669904 0.44957380
