# s/c   M_is_mean    M_is_std
0.42674472 0.86937812 0.00294463
0.42803081 0.87019379 0.00298827
0.42931690 0.87100818 0.00303034
0.43060298 0.87183299 0.00307394
0.43188907 0.87268220 0.00312280
0.43317516 0.87356404 0.00317837
0.43446125 0.87447750 0.00323892
0.43574734 0.87542018 0.00330266
0.43703342 0.87639155 0.00336906
0.43831951 0.87738721 0.00343562
0.43960560 0.87840329 0.00350174
0.44089169 0.87942818 0.00356562
0.44217778 0.88043906 0.00362252
0.44346386 0.88141819 0.00367002
0.44474995 0.88236955 0.00371020
0.44603604 0.88333896 0.00375758
0.44732213 0.88438630 0.00382517
0.44860822 0.88554887 0.00391587
0.44989430 0.88679502 0.00402010
0.45118039 0.88801736 0.00411047
0.45246648 0.88916888 0.00417807
0.45375257 0.89026242 0.00423278
0.45503866 0.89130201 0.00428036
0.45632474 0.89228437 0.00431991
0.45761083 0.89318210 0.00434190
0.45889692 0.89398163 0.00434359
0.46018301 0.89471994 0.00433894
0.46146910 0.89545948 0.00434573
0.46275519 0.89627084 0.00437725
0.46404127 0.89716002 0.00442905
0.46532736 0.89804660 0.00447781
0.46661345 0.89888260 0.00451360
0.46789954 0.89967189 0.00454056
0.46917084 0.90044666 0.00457103
0.47045693 0.90124770 0.00461617
0.47174302 0.90208480 0.00467442
0.47302911 0.90294391 0.00473997
0.47431520 0.90380275 0.00480488
0.47560128 0.90463531 0.00486047
0.47688737 0.90542924 0.00490484
0.47817346 0.90618858 0.00494103
0.47945955 0.90693036 0.00497486
0.48074564 0.90767770 0.00501273
0.48203172 0.90845118 0.00505941
0.48331781 0.90925244 0.00511480
0.48460390 0.91005688 0.00517058
0.48587521 0.91084213 0.00522078
0.48716129 0.91159754 0.00526330
0.48844738 0.91232268 0.00529891
0.48973347 0.91302540 0.00533141
0.49101956 0.91371459 0.00536429
0.49230565 0.91439939 0.00539991
0.49359173 0.91508733 0.00543931
0.49487782 0.91578451 0.00548347
0.49616391 0.91649342 0.00553189
0.49743522 0.91721214 0.00558333
0.49872130 0.91793510 0.00563590
0.50000739 0.91865332 0.00568672
0.50129348 0.91935703 0.00573385
0.50257957 0.92003864 0.00577544
0.50386566 0.92069290 0.00581046
0.50515174 0.92132174 0.00584067
0.50643783 0.92193755 0.00587039
0.50770914 0.92255154 0.00590304
0.50899523 0.92316836 0.00593962
0.51028131 0.92378288 0.00597770
0.51156740 0.92437907 0.00601164
0.51285349 0.92494266 0.00603805
0.51413958 0.92546636 0.00605557
0.51542567 0.92595189 0.00606557
0.51669697 0.92641381 0.00607381
0.51798306 0.92687427 0.00608700
0.51926915 0.92735742 0.00611036
0.52055524 0.92787630 0.00614507
0.52184132 0.92843204 0.00618955
0.52312741 0.92900411 0.00623670
0.52439872 0.92954523 0.00627335
0.52568480 0.93002612 0.00629067
0.52697089 0.93043854 0.00628809
0.52825698 0.93079573 0.00627415
0.52954307 0.93114605 0.00626365
0.53082916 0.93152783 0.00626690
0.53210046 0.93195437 0.00628448
0.53338655 0.93240427 0.00630633
0.53467264 0.93282885 0.00631867
0.53595873 0.93320763 0.00631596
0.53724481 0.93354873 0.00630155
0.53853090 0.93388250 0.00628835
0.53980221 0.93425372 0.00628935
0.54108830 0.93467872 0.00630548
0.54237438 0.93514137 0.00632960
0.54366047 0.93561424 0.00635228
0.54494656 0.93607349 0.00636659
0.54621787 0.93650118 0.00636801
0.54750395 0.93690041 0.00636019
0.54879004 0.93730209 0.00635358
0.55007613 0.93772907 0.00635394
0.55134744 0.93819389 0.00636293
0.55263352 0.93869334 0.00637715
0.55391961 0.93920222 0.00638803
0.55520570 0.93969607 0.00638914
0.55649179 0.94016616 0.00637924
0.55776309 0.94062269 0.00636255
0.55904918 0.94109160 0.00634903
0.56033527 0.94159213 0.00634396
0.56162136 0.94212674 0.00634660
0.56289266 0.94268575 0.00635372
0.56417875 0.94324652 0.00635813
0.56546484 0.94379179 0.00635545
0.56675093 0.94430956 0.00634360
0.56803702 0.94478971 0.00632022
0.56930832 0.94522812 0.00628540
0.57059441 0.94563075 0.00624353
0.57188050 0.94601517 0.00620063
0.57316659 0.94640084 0.00616209
0.57443789 0.94680636 0.00613082
0.57572398 0.94724942 0.00610847
0.57701007 0.94773946 0.00609439
0.57829616 0.94827646 0.00608749
0.57956746 0.94884634 0.00608485
0.58085355 0.94941666 0.00607644
0.58213964 0.94996011 0.00605649
0.58341094 0.95046399 0.00602271
0.58469703 0.95092447 0.00597528
0.58598312 0.95135010 0.00591994
0.58726921 0.95175923 0.00586302
0.58854051 0.95216598 0.00580891
0.58982660 0.95257776 0.00575902
0.59111269 0.95299053 0.00571056
0.59239878 0.95338518 0.00565650
0.59367008 0.95374585 0.00559181
0.59495617 0.95407406 0.00551839
0.59624226 0.95438881 0.00544494
0.59751356 0.95471328 0.00537974
0.59879965 0.95506480 0.00532662
0.60008574 0.95545326 0.00528655
0.60137183 0.95587854 0.00525850
0.60264313 0.95632902 0.00523831
0.60392922 0.95678023 0.00521700
0.60521531 0.95720685 0.00518809
0.60648661 0.95759014 0.00514608
0.60777270 0.95792080 0.00508688
0.60905879 0.95821216 0.00501736
0.61033010 0.95848815 0.00494620
0.61161618 0.95876937 0.00487888
0.61290227 0.95906659 0.00481758
0.61417358 0.95937815 0.00476054
0.61545967 0.95969712 0.00470624
0.61674575 0.96001734 0.00465335
0.61801706 0.96033847 0.00460275
0.61930315 0.96065973 0.00455505
0.62058924 0.96098203 0.00451028
0.62187532 0.96131261 0.00447083
0.62314663 0.96166225 0.00443954
0.62443272 0.96203843 0.00441708
0.62571880 0.96243920 0.00440133
0.62699011 0.96284775 0.00438591
0.62827620 0.96323311 0.00435982
0.62954750 0.96357451 0.00431671
0.63083359 0.96386665 0.00425675
0.63211968 0.96410825 0.00418118
0.63339099 0.96430450 0.00409313
0.63467707 0.96446940 0.00399895
0.63596316 0.96461692 0.00390377
0.63723447 0.96476162 0.00381184
0.63852056 0.96492093 0.00372821
0.63980664 0.96510888 0.00365661
0.64107795 0.96533221 0.00359813
0.64236404 0.96558840 0.00355139
0.64365012 0.96587194 0.00351435
0.64492143 0.96617791 0.00348480
0.64620752 0.96650174 0.00346188
0.64749361 0.96683885 0.00344423
0.64876491 0.96718421 0.00343008
0.65005100 0.96753206 0.00341773
0.65132231 0.96787649 0.00340515
0.65260839 0.96821086 0.00339004
0.65389448 0.96852873 0.00336998
0.65516579 0.96882390 0.00334276
0.65645188 0.96909169 0.00330658
0.65772318 0.96933195 0.00326189
0.65900927 0.96954625 0.00321035
0.66029536 0.96973261 0.00315204
0.66156666 0.96988303 0.00308400
0.66285275 0.96999065 0.00300450
0.66413884 0.97005555 0.00291469
0.66541014 0.97008946 0.00282010
0.66669623 0.97011254 0.00273039
0.66796754 0.97014213 0.00265234
0.66925363 0.97019149 0.00259003
0.67053971 0.97026720 0.00254390
0.67181102 0.97036738 0.00251147
0.67309711 0.97047936 0.00248658
0.67436841 0.97057820 0.00245828
0.67565450 0.97064274 0.00241984
0.67692581 0.97066598 0.00236915
0.67821189 0.97064781 0.00230671
0.67949798 0.97058901 0.00223342
0.68076929 0.97048944 0.00214869
0.68205538 0.97034968 0.00205301
0.68332668 0.97017598 0.00194816
0.68461277 0.96998602 0.00184150
0.68589886 0.96980143 0.00174229
0.68717016 0.96963227 0.00165498
0.68845625 0.96947521 0.00157947
0.68972756 0.96932126 0.00151134
0.69101364 0.96916613 0.00144862
0.69228495 0.96900778 0.00139059
0.69357104 0.96884445 0.00133558
0.69484234 0.96868008 0.00128488
0.69612843 0.96852037 0.00123952
0.69741452 0.96837492 0.00120210
0.69868582 0.96825076 0.00117372
0.69997191 0.96814434 0.00115163
0.70124322 0.96804476 0.00113214
0.70252931 0.96793615 0.00110919
0.70380061 0.96781244 0.00108187
0.70508670 0.96767544 0.00105269
0.70635801 0.96752611 0.00102271
0.70764409 0.96736387 0.00099306
0.70893018 0.96718569 0.00096297
0.71020149 0.96698820 0.00093163
0.71148758 0.96677039 0.00089953
0.71275888 0.96654153 0.00086931
0.71404497 0.96631659 0.00084458
0.71531627 0.96611229 0.00082806
0.71660236 0.96593649 0.00082022
0.71787367 0.96578256 0.00081900
0.71915976 0.96564175 0.00082174
0.72043106 0.96550724 0.00082626
0.72171715 0.96537608 0.00083173
0.72298845 0.96524744 0.00083794
0.72427454 0.96512020 0.00084425
0.72554585 0.96499139 0.00085044
0.72683194 0.96485359 0.00085627
0.72810324 0.96469938 0.00086110
0.72938933 0.96452501 0.00086525
0.73066064 0.96433373 0.00086915
0.73194672 0.96413589 0.00087245
0.73321803 0.96394119 0.00087599
0.73450412 0.96375540 0.00088021
0.73577542 0.96358003 0.00088513
0.73706151 0.96341400 0.00089101
0.73833282 0.96325603 0.00089772
0.73961890 0.96310490 0.00090528
0.74089021 0.96295929 0.00091362
0.74217630 0.96281781 0.00092278
0.74344760 0.96267896 0.00093281
0.74473369 0.96254095 0.00094369
0.74600500 0.96240283 0.00095561
0.74729108 0.96226504 0.00096860
0.74856239 0.96212936 0.00098253
0.74984848 0.96199845 0.00099713
0.75111978 0.96187481 0.00101226
0.75240587 0.96176030 0.00102771
0.75367718 0.96165612 0.00104315
0.75496327 0.96156276 0.00105865
0.75623457 0.96148010 0.00107418
0.75752066 0.96140774 0.00108969
0.75879196 0.96134513 0.00110533
0.76007805 0.96129158 0.00112118
0.76134936 0.96124655 0.00113738
0.76263545 0.96121002 0.00115409
0.76390675 0.96118248 0.00117144
0.76517806 0.96116537 0.00118959
0.76646414 0.96116160 0.00120872
0.76773545 0.96117517 0.00122907
0.76902154 0.96120858 0.00125097
0.77029284 0.96125977 0.00127525
0.77157893 0.96132158 0.00130269
0.77285024 0.96138548 0.00133256
0.77413633 0.96144491 0.00136357
0.77540763 0.96149483 0.00139450
0.77669372 0.96153089 0.00142409
0.77796502 0.96154938 0.00145127
0.77923633 0.96154815 0.00147548
0.78052242 0.96152704 0.00149645
0.78179372 0.96148868 0.00151426
0.78307981 0.96143881 0.00152957
0.78435112 0.96138254 0.00154299
0.78563720 0.96132333 0.00155527
0.78690851 0.96126337 0.00156703
0.78817982 0.96120411 0.00157867
0.78946590 0.96114706 0.00159056
0.79073721 0.96109322 0.00160296
0.79202330 0.96104328 0.00161608
0.79329460 0.96099680 0.00162991
0.79458069 0.96095237 0.00164435
0.79585200 0.96090727 0.00165905
0.79712330 0.96085714 0.00167337
0.79840939 0.96079830 0.00168667
0.79968070 0.96072774 0.00169842
0.80096678 0.96064295 0.00170812
0.80223809 0.96054308 0.00171574
0.80350939 0.96042839 0.00172134
0.80479548 0.96030173 0.00172518
0.80606679 0.96016842 0.00172786
0.80735288 0.96003218 0.00172969
0.80862418 0.95989583 0.00173107
0.80989549 0.95976109 0.00173256
0.81118157 0.95962958 0.00173449
0.81245288 0.95950395 0.00173726
0.81373897 0.95938521 0.00174108
0.81501027 0.95927206 0.00174613
0.81628158 0.95916122 0.00175251
0.81756767 0.95904933 0.00175955
0.81883897 0.95893372 0.00176676
0.82012506 0.95881206 0.00177368
0.82139637 0.95868084 0.00177954
0.82266767 0.95853504 0.00178390
0.82395376 0.95837129 0.00178647
0.82522507 0.95819079 0.00178717
0.82651115 0.95799977 0.00178652
0.82778246 0.95780586 0.00178544
0.82905376 0.95761423 0.00178421
0.83033985 0.95742612 0.00178342
0.83161116 0.95724091 0.00178317
0.83288246 0.95705737 0.00178312
0.83416855 0.95687347 0.00178311
0.83543986 0.95668679 0.00178279
0.83672594 0.95649438 0.00178187
0.83799725 0.95629324 0.00177995
0.83926856 0.95608053 0.00177661
0.84055464 0.95585356 0.00177150
0.84182595 0.95561006 0.00176431
0.84309725 0.95534828 0.00175492
0.84438334 0.95506806 0.00174370
0.84565465 0.95477203 0.00173102
0.84692595 0.95446511 0.00171775
0.84821204 0.95415583 0.00170479
0.84948335 0.95385266 0.00169279
0.85076944 0.95355991 0.00168204
0.85204074 0.95327583 0.00167237
0.85331205 0.95299297 0.00166413
0.85459813 0.95270589 0.00165663
0.85586944 0.95241043 0.00164925
0.85714075 0.95210261 0.00164193
0.85842683 0.95177947 0.00163456
0.85969814 0.95143965 0.00162733
0.86096944 0.95108350 0.00162053
0.86225553 0.95071439 0.00161446
0.86352684 0.95034202 0.00160851
0.86479814 0.94997660 0.00160198
0.86608423 0.94962708 0.00159399
0.86735554 0.94930033 0.00158350
0.86862684 0.94899819 0.00157073
0.86991293 0.94871745 0.00155710
0.87118424 0.94845074 0.00154448
0.87245554 0.94818835 0.00153429
0.87374163 0.94792058 0.00152649
0.87501293 0.94763889 0.00152077
0.87628424 0.94733591 0.00151687
0.87757033 0.94700610 0.00151442
0.87884163 0.94664604 0.00151369
0.88011294 0.94625486 0.00151521
0.88138424 0.94583397 0.00151996
0.88267033 0.94538638 0.00152893
0.88394164 0.94491626 0.00154295
0.88521294 0.94442756 0.00156285
0.88649903 0.94392473 0.00158859
0.88777034 0.94341429 0.00161895
0.88904164 0.94290351 0.00165142
0.89032773 0.94239849 0.00168385
0.89159904 0.94190298 0.00171541
0.89287034 0.94141937 0.00174575
0.89415643 0.94094950 0.00177453
0.89542774 0.94049326 0.00180191
0.89669904 0.94004910 0.00182831
0.89797035 0.93961481 0.00185434
0.89925643 0.93918704 0.00188097
0.90052774 0.93876320 0.00190840
0.90179905 0.93834087 0.00193719
0.90308513 0.93791697 0.00196822
0.90435644 0.93748852 0.00200233
0.90562774 0.93705265 0.00204047
0.90691383 0.93660690 0.00208353
0.90818514 0.93615000 0.00213189
0.90945644 0.93568219 0.00218541
0.91072775 0.93520567 0.00224310
0.91201384 0.93472590 0.00230219
0.91328514 0.93424822 0.00236052
0.91455645 0.93377810 0.00241593
0.91582775 0.93332125 0.00246610
0.91711384 0.93288287 0.00250908
0.91838515 0.93246670 0.00254352
0.91965645 0.93207492 0.00256866
0.92094254 0.93170687 0.00258477
0.92221385 0.93135563 0.00259528
0.92348515 0.93101298 0.00260391
0.92475646 0.93067157 0.00261392
0.92604254 0.93032644 0.00262733
0.92731385 0.92997603 0.00264434
0.92858516 0.92961969 0.00266480
0.92985646 0.92925740 0.00268820
0.93114255 0.92888880 0.00271441
0.93241385 0.92851381 0.00274303
0.93368516 0.92813368 0.00277310
0.93495647 0.92775181 0.00280225
0.93624255 0.92737531 0.00282605
0.93751386 0.92701223 0.00284105
0.93878516 0.92666993 0.00284427
0.94005647 0.92635093 0.00283567
0.94134256 0.92604996 0.00281943
0.94261386 0.92575885 0.00280027
0.94388517 0.92547006 0.00278218
0.94515647 0.92517914 0.00276707
0.94644256 0.92488266 0.00275636
0.94771387 0.92457674 0.00275175
0.94898517 0.92425864 0.00275430
0.95025648 0.92392598 0.00276506
0.95154257 0.92357682 0.00278487
0.95281387 0.92320932 0.00281501
0.95408518 0.92282339 0.00285575
0.95535648 0.92242590 0.00290315
0.95664257 0.92202892 0.00295084
0.95791388 0.92164659 0.00299101
0.95918518 0.92128745 0.00301908
0.96045649 0.92095011 0.00303653
0.96174258 0.92062934 0.00304652
0.96301388 0.92031937 0.00305189
0.96428519 0.92001623 0.00305475
0.96555649 0.91971584 0.00305730
0.96682780 0.91941290 0.00306248
0.96811389 0.91910229 0.00307324
0.96938519 0.91878029 0.00309158
0.97065650 0.91844519 0.00311839
0.97192780 0.91809687 0.00315360
0.97321389 0.91773624 0.00319665
0.97448520 0.91736531 0.00324644
0.97575650 0.91698831 0.00330060
0.97702781 0.91660985 0.00335668
0.97829911 0.91623478 0.00341216
0.97958520 0.91586693 0.00346515
0.98085651 0.91550804 0.00351488
0.98212781 0.91515828 0.00356136
0.98339912 0.91481577 0.00360575
0.98468520 0.91447869 0.00364899
0.98595651 0.91414498 0.00369208
0.98722781 0.91381209 0.00373633
0.98849912 0.91347754 0.00378299
0.98977043 0.91313906 0.00383322
0.99105651 0.91279507 0.00388772
0.99232782 0.91244472 0.00394680
0.99359912 0.91208760 0.00401047
