# s/c    P_w
0.66029536 0.50471099
0.65900927 0.50522492
0.65772318 0.50574919
0.65645188 0.50628231
0.65516579 0.50682203
0.65389448 0.50736475
0.65260839 0.50790669
0.65132231 0.50844420
0.65005100 0.50897344
0.64876491 0.50949125
0.64749361 0.50999447
0.64620752 0.51048067
0.64492143 0.51094831
0.64365012 0.51139537
0.64236404 0.51182064
0.64107795 0.51222326
0.63980664 0.51260415
0.63852056 0.51296885
0.63723447 0.51332585
0.63596316 0.51368450
0.63467707 0.51405212
0.63339099 0.51443417
0.63211968 0.51483445
0.63083359 0.51525307
0.62954750 0.51568740
0.62827620 0.51613202
0.62699011 0.51657658
0.62571880 0.51700773
0.62443272 0.51741807
0.62314663 0.51780812
0.62187532 0.51818309
0.62058924 0.51854864
0.61930315 0.51890789
0.61801706 0.51926198
0.61674575 0.51961053
0.61545967 0.51995305
0.61417358 0.52028713
0.61290227 0.52060984
0.61161618 0.52092203
0.61033010 0.52123075
0.60905879 0.52154620
0.60777270 0.52187731
0.60648661 0.52222766
0.60521531 0.52259330
0.60392922 0.52296470
0.60264313 0.52332880
0.60137183 0.52367585
0.60008574 0.52400130
0.59879965 0.52430651
0.59751356 0.52459928
0.59624226 0.52489013
0.59495617 0.52518968
0.59367008 0.52550468
0.59239878 0.52583505
0.59111269 0.52617393
0.58982660 0.52651352
0.58854051 0.52685336
0.58726921 0.52719764
0.58598312 0.52755219
0.58469703 0.52792394
0.58341094 0.52831343
0.58213964 0.52871771
0.58085355 0.52912947
0.57956746 0.52953380
0.57829616 0.52991637
0.57701007 0.53026926
0.57572398 0.53059360
0.57443789 0.53089771
0.57316659 0.53119344
0.57188050 0.53149200
0.57059441 0.53180225
0.56930832 0.53213024
0.56803702 0.53247603
0.56675093 0.53283642
0.56546484 0.53320626
0.56417875 0.53357907
0.56289266 0.53394673
0.56162136 0.53430046
0.56033527 0.53463635
0.55904918 0.53495750
0.55776309 0.53527320
0.55649179 0.53559210
0.55520570 0.53591789
0.55391961 0.53624561
0.55263352 0.53656343
0.55134744 0.53686142
0.55007613 0.53714029
0.54879004 0.53740777
0.54750395 0.53767441
0.54621787 0.53795080
0.54494656 0.53823651
0.54366047 0.53852403
0.54237438 0.53880335
0.54108830 0.53906510
0.53980221 0.53930606
0.53853090 0.53953740
0.53724481 0.53977827
0.53595873 0.54003940
0.53467264 0.54032375
0.53338655 0.54062252
0.53210046 0.54091555
0.53082916 0.54119651
0.52954307 0.54147435
0.52825698 0.54176635
0.52697089 0.54209068
0.52568480 0.54244889
0.52439872 0.54283631
0.52312741 0.54324013
0.52184132 0.54363974
0.52055524 0.54402735
0.51926915 0.54440509
0.51798306 0.54478127
0.51669697 0.54516787
0.51542567 0.54557355
0.51413958 0.54600339
0.51285349 0.54645771
0.51156740 0.54693275
0.51028131 0.54742169
0.50899523 0.54791879
0.50770914 0.54842243
0.50643783 0.54893476
0.50515174 0.54946020
0.50386566 0.55000260
0.50257957 0.55056161
0.50129348 0.55113455
0.50000739 0.55171764
0.49872130 0.55230573
0.49743522 0.55289529
0.49616391 0.55348424
0.49487782 0.55407228
0.49359173 0.55466166
0.49230565 0.55525579
0.49101956 0.55585865
0.48973347 0.55647410
0.48844738 0.55710508
0.48716129 0.55775342
0.48587521 0.55841846
0.48460390 0.55909522
0.48331781 0.55977369
0.48203172 0.56044444
0.48074564 0.56110816
0.47945955 0.56177433
0.47817346 0.56245252
0.47688737 0.56314849
0.47560128 0.56386198
0.47431520 0.56458591
0.47302911 0.56531056
0.47174302 0.56602768
0.47045693 0.56673278
0.46917084 0.56743358
0.46789954 0.56814719
0.46661345 0.56888536
0.46532736 0.56964789
0.46404127 0.57041076
0.46275519 0.57113892
0.46146910 0.57184045
0.46018301 0.57255262
0.45889692 0.57330180
0.45761083 0.57409986
0.45632474 0.57493978
0.45503866 0.57581069
0.45375257 0.57671027
0.45246648 0.57763605
0.45118039 0.57858799
0.44989430 0.57954158
0.44860822 0.58044753
0.44732213 0.58129194
0.44603604 0.58209781
0.44474995 0.58289439
0.44346386 0.58370047
0.44217778 0.58451717
0.44089169 0.58533415
0.43960560 0.58613984
0.43831951 0.58692742
0.43703342 0.58769455
0.43574734 0.58844062
0.43446125 0.58916559
0.43317516 0.58986972
0.43188907 0.59055414
0.43060298 0.59122313
0.42931690 0.59188329
0.42803081 0.59253974
0.42674472 0.59319435
0.42545863 0.59384916
0.42417254 0.59451202
0.42288645 0.59518848
0.42160037 0.59587799
0.42031428 0.59655251
0.41902819 0.59715231
0.41774210 0.59765963
0.41645601 0.59810509
0.41516993 0.59852223
0.41388384 0.59892765
0.41259775 0.59932056
0.41131166 0.59971063
0.41002557 0.60011258
0.40873949 0.60052728
0.40745340 0.60093866
0.40616731 0.60133345
0.40488122 0.60171649
0.40359513 0.60210624
0.40230905 0.60252854
0.40102296 0.60300275
0.39973687 0.60352051
0.39843600 0.60405168
0.39714991 0.60456885
0.39586382 0.60505961
0.39457773 0.60552509
0.39329165 0.60597028
0.39200556 0.60639778
0.39071947 0.60680653
0.38943338 0.60719611
0.38814729 0.60757169
0.38686121 0.60794358
0.38557512 0.60832264
0.38428903 0.60871878
0.38298816 0.60913881
0.38170207 0.60957743
0.38041598 0.61001388
0.37912989 0.61042743
0.37784381 0.61081440
0.37655772 0.61118496
0.37527163 0.61154898
0.37398554 0.61191063
0.37269945 0.61226868
0.37139858 0.61261575
0.37011250 0.61294792
0.36882641 0.61327549
0.36754032 0.61361319
0.36625423 0.61396857
0.36496814 0.61433712
0.36368206 0.61470620
0.36238118 0.61506440
0.36109510 0.61540555
0.35980901 0.61573037
0.35852292 0.61603849
0.35723683 0.61632531
0.35595074 0.61659201
0.35466466 0.61684910
0.35336379 0.61710891
0.35207770 0.61737912
0.35079161 0.61765964
0.34950552 0.61794711
0.34821943 0.61823884
0.34693335 0.61852684
0.34563247 0.61880115
0.34434639 0.61905541
0.34306030 0.61928864
0.34177421 0.61950441
0.34048812 0.61970821
0.33918725 0.61990672
0.33790116 0.62010620
0.33661508 0.62031201
0.33532899 0.62052746
0.33404290 0.62075713
0.33275681 0.62100666
0.33145594 0.62127672
0.33016985 0.62156381
0.32888376 0.62186062
0.32759768 0.62215530
0.32629681 0.62243928
0.32501072 0.62270613
0.32372463 0.62295469
0.32243854 0.62319618
0.32115245 0.62344954
0.31985158 0.62373599
0.31856549 0.62407474
0.31727941 0.62447854
0.31599332 0.62494609
0.31469245 0.62546723
0.31340636 0.62603936
0.31212027 0.62666732
0.31083418 0.62735234
0.30953331 0.62808057
0.30824722 0.62883245
0.30696114 0.62960013
0.30567505 0.63039441
0.30437418 0.63124071
0.30308809 0.63216331
0.30180200 0.63317389
0.30051591 0.63426782
0.29921504 0.63543098
0.29792895 0.63664746
0.29664287 0.63790998
0.29534200 0.63922651
0.29405591 0.64061511
0.29276982 0.64208884
0.29148373 0.64365144
0.29018286 0.64529176
0.28889677 0.64698042
0.28761068 0.64869030
0.28630981 0.65043454
0.28502373 0.65224564
0.28373764 0.65414408
0.28243677 0.65612857
0.28115068 0.65816222
0.27986459 0.66021795
0.27857850 0.66229423
0.27727763 0.66439488
0.27599154 0.66653079
0.27470546 0.66872468
0.27340459 0.67099168
0.27211850 0.67333210
0.27083241 0.67573111
0.26953154 0.67815931
0.26824545 0.68059636
0.26695936 0.68303493
0.26565849 0.68548492
0.26437240 0.68797001
0.26307153 0.69050106
0.26178545 0.69307712
0.26049936 0.69569375
0.25919849 0.69834546
0.25791240 0.70102983
0.25662631 0.70374508
0.25532544 0.70649098
0.25403935 0.70926899
0.25275326 0.71208188
0.25145239 0.71492893
0.25016630 0.71780507
0.24886543 0.72070604
0.24757935 0.72362931
0.24629326 0.72657237
0.24499239 0.72953317
0.24370630 0.73250608
0.24240543 0.73548181
0.24111934 0.73845530
0.23983325 0.74142856
0.23853238 0.74441020
0.23724629 0.74740936
0.23594542 0.75042833
0.23465933 0.75346117
0.23337325 0.75649550
0.23207238 0.75951873
0.23078629 0.76252245
0.22948542 0.76550099
0.22819933 0.76844881
0.22689846 0.77136133
0.22561237 0.77424106
0.22432628 0.77709702
0.22302541 0.77993413
0.22173932 0.78274956
0.22043845 0.78553670
0.21915236 0.78828849
0.21785149 0.79099973
0.21656541 0.79366922
0.21526454 0.79629925
0.21397845 0.79889368
0.21267758 0.80145941
0.21139149 0.80399651
0.21009062 0.80649246
0.20880453 0.80893107
0.20750366 0.81130022
0.20621757 0.81361538
0.20493148 0.81592229
0.20363061 0.81823961
0.20234452 0.82055550
0.20104365 0.82285736
0.19975757 0.82513327
0.19845669 0.82738158
0.19717061 0.82960288
0.19586974 0.83178802
0.19458365 0.83392493
0.19328278 0.83599346
0.19199669 0.83799810
0.19069582 0.83998421
0.18939495 0.84198025
0.18810886 0.84398070
0.18680799 0.84596716
0.18552190 0.84792441
0.18422103 0.84984983
0.18293494 0.85175082
0.18163407 0.85363662
0.18034798 0.85551295
0.17904711 0.85738233
0.17776102 0.85924667
0.17646015 0.86110850
0.17517407 0.86297190
0.17387319 0.86484163
0.17257232 0.86672219
0.17128624 0.86861723
0.16998537 0.87052826
0.16869928 0.87245417
0.16739841 0.87438756
0.16611232 0.87630859
0.16481145 0.87819146
0.16351058 0.88000680
0.16222449 0.88175349
0.16092362 0.88348025
0.15963753 0.88521884
0.15833666 0.88696559
0.15703579 0.88870786
0.15574970 0.89044338
0.15444883 0.89218549
0.15316274 0.89393442
0.15186187 0.89567840
0.15056100 0.89741288
0.14927491 0.89915167
0.14797404 0.90091398
0.14668795 0.90270722
0.14538708 0.90452366
0.14408621 0.90633892
0.14280012 0.90811940
0.14149925 0.90984868
0.14019838 0.91153568
0.13891229 0.91319783
0.13761142 0.91484746
0.13632534 0.91648699
0.13502447 0.91811444
0.13372359 0.91972891
0.13243751 0.92133321
0.13113664 0.92293098
0.12983577 0.92451685
0.12854968 0.92522328
0.12724881 0.92669370
0.12594794 0.92814441
0.12466185 0.92957525
0.12336098 0.93098608
0.12206011 0.93237677
0.12075924 0.93374723
0.11947315 0.93509736
0.11817228 0.93642708
0.11687141 0.93773634
0.11558532 0.93902510
0.11428445 0.94029334
0.11298358 0.94154104
0.11169749 0.94276823
0.11039662 0.94397493
0.10909575 0.94516119
0.10779488 0.94632708
0.10650879 0.94747268
0.10520792 0.94859808
0.10390705 0.94970342
0.10260618 0.95078881
0.10132009 0.95185442
0.10001922 0.95290041
0.09871835 0.95392698
0.09743226 0.95493431
0.09613139 0.95592264
0.09483052 0.95689220
0.09352965 0.95784323
0.09224356 0.95877601
0.09094269 0.95969081
0.08964182 0.96058794
0.08834095 0.96146769
0.08704008 0.96233040
0.08575399 0.96317640
0.08445312 0.96400604
0.08315225 0.96481967
0.08185138 0.96561768
0.08056529 0.96640044
0.07926442 0.96716835
0.07796355 0.96792181
0.07666268 0.96866123
0.07536180 0.96938703
0.07407572 0.97009963
0.07277485 0.97079947
0.07147398 0.97148698
0.07017310 0.97216261
0.06887223 0.97282680
0.06757136 0.97348001
0.06628528 0.97412267
0.06498440 0.97475525
0.06368353 0.97537819
0.06238266 0.97599194
0.06108179 0.97659695
0.05978092 0.97719366
0.05849483 0.97778252
0.05719396 0.97836395
0.05589309 0.97893838
0.05459222 0.97950623
0.05329135 0.98006790
0.05199048 0.98062380
0.05068961 0.98117431
0.04940352 0.98171979
0.04810265 0.98226062
0.04680178 0.98279712
0.04550091 0.98332961
0.04420004 0.98385841
0.04289917 0.98438379
0.04159830 0.98490602
0.04029743 0.98542532
0.03901134 0.98594192
0.03771047 0.98645598
0.03640960 0.98696768
0.03510873 0.98747712
0.03380786 0.98798441
0.03250698 0.98848960
0.03120611 0.98899270
0.02990524 0.98949372
0.02860437 0.98999258
0.02730350 0.99048920
0.02600263 0.99098343
0.02470176 0.99147510
0.02341567 0.99196396
0.02211480 0.99244973
0.02081393 0.99293209
0.01951306 0.99341065
0.01821219 0.99388496
0.01691132 0.99435453
0.01561045 0.99481881
0.01430958 0.99527716
0.01300871 0.99572891
0.01170784 0.99617331
0.01040697 0.99660954
0.00910609 0.99703671
0.00780522 0.99745386
0.00650435 0.99785995
0.00520348 0.99825386
0.00390261 0.99863441
0.00260174 0.99900030
0.00130087 0.99935019
0.00000000 0.99968261
-0.00000000 0.99867168
-0.00130087 0.99911654
-0.00260335 0.99935464
-0.00390746 0.99956767
-0.00521317 0.99971178
-0.00652048 0.99982456
-0.00782941 0.99990602
-0.00913993 0.99996867
-0.01045207 1.00000000
-0.01176578 1.00001253
-0.01308110 1.00000627
-0.01439801 0.99997494
-0.01571644 0.99991855
-0.01703653 0.99983083
-0.01835824 0.99971178
-0.01968143 0.99956767
-0.02100625 0.99937970
-0.02233255 0.99916040
-0.02366047 0.99889724
-0.02499002 0.99860276
-0.02632105 0.99828321
-0.02765326 0.99796992
-0.02898739 0.99771303
-0.03032315 0.99750627
-0.03166038 0.99731830
-0.03299939 0.99714912
-0.03433973 0.99697995
-0.03568185 0.99681704
-0.03702529 0.99665414
-0.03837051 0.99649123
-0.03971706 0.99632832
-0.04106524 0.99616541
-0.04241504 0.99598997
-0.04376617 0.99581454
-0.04511893 0.99565163
-0.04647316 0.99551378
-0.04782902 0.99541353
-0.04918636 0.99533208
-0.05054518 0.99526316
-0.05190548 0.99519424
-0.05326740 0.99512531
-0.05463080 0.99505639
-0.05599568 0.99499373
-0.05736204 0.99493108
-0.05872988 0.99486216
-0.06009919 0.99479950
-0.06146998 0.99473684
-0.06284240 0.99467419
-0.06421615 0.99461153
-0.06559138 0.99454887
-0.06696823 0.99447368
-0.06834642 0.99439850
-0.06972608 0.99432331
-0.07110722 0.99424185
-0.07248984 0.99416667
-0.07387393 0.99408521
-0.07525951 0.99400376
-0.07664641 0.99392857
-0.07803480 0.99384712
-0.07942466 0.99377193
-0.08081600 0.99369048
-0.08220867 0.99360902
-0.08360282 0.99353383
-0.08499845 0.99345238
-0.08639541 0.99337719
-0.08779384 0.99330201
-0.08919376 0.99322055
-0.09059500 0.99314536
-0.09199772 0.99307018
-0.09340178 0.99299499
-0.09480731 0.99291980
-0.09621417 0.99284461
-0.09762236 0.99276942
-0.09903203 0.99269424
-0.10044304 0.99261905
-0.10185551 0.99254386
-0.10326932 0.99246867
-0.10468446 0.99239975
-0.10610108 0.99232456
-0.10751888 0.99224937
-0.10893816 0.99217419
-0.11035892 0.99209900
-0.11178086 0.99202381
-0.11320413 0.99194862
-0.11462888 0.99187343
-0.11605496 0.99179825
-0.11748222 0.99172932
-0.11891096 0.99165414
-0.12034104 0.99158521
-0.12177229 0.99151003
-0.12320502 0.99144110
-0.12463893 0.99137218
-0.12607433 0.99130326
-0.12751090 0.99123434
-0.12894881 0.99116541
-0.13038804 0.99109649
-0.13182846 0.99102757
-0.13327021 0.99095865
-0.13471344 0.99088972
-0.13615770 0.99082707
-0.13760344 0.99075815
-0.13905022 0.99068922
-0.14049847 0.99062657
-0.14194791 0.99055764
-0.14339867 0.99049499
-0.14485062 0.99042607
-0.14630375 0.99036341
-0.14775822 0.99030075
-0.14921430 0.99023183
-0.15067039 0.99016917
-0.15212944 0.99010652
-0.15358848 0.99003759
-0.15504900 0.98997494
-0.15651101 0.98991228
-0.15797449 0.98984336
-0.15943796 0.98978070
-0.16090440 0.98971805
-0.16237084 0.98964912
-0.16383875 0.98958647
-0.16530667 0.98952381
-0.16677754 0.98945489
-0.16824841 0.98939223
-0.16972223 0.98932331
-0.17119606 0.98926065
-0.17266989 0.98919173
-0.17414667 0.98912907
-0.17562346 0.98906015
