# s/c    P_w
1.10439487 0.62557909
1.10312357 0.62547766
1.10185226 0.62537749
1.10058096 0.62527854
1.09930965 0.62518095
1.09802356 0.62508459
1.09675226 0.62498932
1.09548095 0.62489493
1.09420965 0.62480122
1.09293834 0.62470810
1.09166704 0.62461527
1.09039573 0.62452243
1.08912443 0.62442918
1.08783834 0.62433473
1.08656703 0.62423836
1.08529573 0.62413906
1.08402442 0.62403621
1.08275312 0.62392874
1.08148181 0.62381364
1.08021050 0.62368836
1.07893920 0.62355308
1.07766789 0.62341266
1.07638181 0.62327416
1.07511050 0.62314250
1.07383919 0.62301899
1.07256789 0.62290268
1.07129658 0.62279187
1.07002528 0.62268408
1.06875397 0.62257633
1.06746788 0.62246539
1.06619658 0.62234856
1.06492527 0.62222422
1.06365397 0.62209195
1.06238266 0.62195130
1.06111136 0.62180161
1.05984005 0.62164141
1.05856875 0.62146896
1.05728266 0.62128548
1.05601135 0.62109393
1.05474005 0.62089729
1.05346874 0.62069845
1.05219744 0.62049891
1.05092613 0.62029912
1.04965483 0.62009966
1.04836874 0.61990015
1.04709743 0.61969969
1.04582613 0.61949705
1.04455482 0.61929076
1.04328352 0.61908019
1.04201221 0.61886513
1.04072612 0.61864551
1.03945482 0.61842110
1.03818351 0.61819158
1.03691221 0.61795671
1.03564090 0.61771619
1.03436960 0.61747003
1.03309829 0.61721937
1.03181220 0.61696622
1.03054090 0.61671260
1.02926959 0.61646017
1.02799829 0.61621040
1.02672698 0.61596463
1.02545567 0.61572425
1.02416959 0.61548986
1.02289828 0.61525998
1.02162698 0.61503125
1.02035567 0.61479989
1.01908436 0.61456367
1.01779828 0.61432230
1.01652697 0.61407654
1.01525567 0.61382735
1.01398436 0.61357566
1.01271305 0.61332227
1.01144175 0.61306787
1.01015566 0.61281292
1.00888436 0.61255796
1.00761305 0.61230334
1.00634174 0.61204911
1.00507044 0.61179544
1.00378435 0.61154242
1.00251305 0.61129036
1.00124174 0.61104050
0.99997043 0.61079457
0.99869913 0.61055437
0.99742782 0.61032102
0.99614174 0.61009390
0.99487043 0.60987190
0.99359912 0.60965475
0.99232782 0.60944252
0.99105651 0.60923518
0.98977043 0.60903226
0.98849912 0.60883288
0.98722781 0.60863542
0.98595651 0.60843813
0.98468520 0.60823920
0.98339912 0.60803721
0.98212781 0.60783087
0.98085651 0.60761855
0.97958520 0.60740024
0.97829911 0.60717698
0.97702781 0.60695145
0.97575650 0.60672720
0.97448520 0.60650760
0.97321389 0.60629599
0.97192780 0.60609384
0.97065650 0.60590195
0.96938519 0.60572049
0.96811389 0.60554836
0.96682780 0.60538297
0.96555649 0.60522019
0.96428519 0.60505610
0.96301388 0.60488754
0.96174258 0.60471178
0.96045649 0.60452502
0.95918518 0.60432242
0.95791388 0.60410190
0.95664257 0.60386933
0.95535648 0.60363603
0.95408518 0.60341175
0.95281387 0.60320157
0.95154257 0.60300521
0.95025648 0.60282103
0.94898517 0.60264766
0.94771387 0.60248358
0.94644256 0.60232699
0.94515647 0.60217549
