# s/c    P_stat
1.00507044 0.43616011
1.00378435 0.43613474
1.00251305 0.43611897
1.00124174 0.43611444
0.99997043 0.43612427
0.99869913 0.43615123
0.99742782 0.43619687
0.99614174 0.43626173
0.99487043 0.43634407
0.99359912 0.43644229
0.99232782 0.43655526
0.99105651 0.43668131
0.98977043 0.43681855
0.98849912 0.43696452
0.98722781 0.43711572
0.98595651 0.43726884
0.98468520 0.43742067
0.98339912 0.43756776
0.98212781 0.43770808
0.98085651 0.43784004
0.97958520 0.43796325
0.97829911 0.43807987
0.97702781 0.43819442
0.97575650 0.43831297
0.97448520 0.43844118
0.97321389 0.43858334
0.97192780 0.43874214
0.97065650 0.43891855
0.96938519 0.43911200
0.96811389 0.43932036
0.96682780 0.43953937
0.96555649 0.43976262
0.96428519 0.43998419
0.96301388 0.44019902
0.96174258 0.44040158
0.96045649 0.44058650
0.95918518 0.44074704
0.95791388 0.44088072
0.95664257 0.44099604
0.95535648 0.44110988
0.95408518 0.44123721
0.95281387 0.44138448
0.95154257 0.44155283
0.95025648 0.44174007
0.94898517 0.44194356
0.94771387 0.44216083
0.94644256 0.44238821
0.94515647 0.44262171
0.94388517 0.44285696
0.94261386 0.44308884
0.94134256 0.44331011
0.94005647 0.44351076
0.93878516 0.44368346
0.93751386 0.44382934
0.93624255 0.44395574
0.93495647 0.44407124
0.93368516 0.44418379
0.93241385 0.44429915
0.93114255 0.44441929
0.92985646 0.44454486
0.92858516 0.44467631
0.92731385 0.44481412
0.92604254 0.44495875
0.92475646 0.44510916
0.92348515 0.44526136
0.92221385 0.44540755
0.92094254 0.44553845
0.91965645 0.44564825
0.91838515 0.44573635
0.91711384 0.44580525
0.91582775 0.44585952
0.91455645 0.44590485
0.91328514 0.44594741
0.91201384 0.44599309
0.91072775 0.44604771
0.90945644 0.44611700
0.90818514 0.44620397
0.90691383 0.44630901
0.90562774 0.44643087
0.90435644 0.44656705
0.90308513 0.44671465
0.90179905 0.44687052
0.90052774 0.44703179
0.89925643 0.44719593
0.89797035 0.44736022
0.89669904 0.44752200
0.89542774 0.44767868
0.89415643 0.44782807
0.89287034 0.44796934
0.89159904 0.44810283
0.89032773 0.44822885
0.88904164 0.44834928
0.88777034 0.44847014
0.88649903 0.44860078
0.88521294 0.44874999
0.88394164 0.44892291
0.88267033 0.44912395
0.88138424 0.44935801
0.88011294 0.44962854
0.87884163 0.44993730
0.87757033 0.45028316
0.87628424 0.45066264
0.87501293 0.45106943
0.87374163 0.45149470
0.87245554 0.45192836
0.87118424 0.45235790
0.86991293 0.45277038
0.86862684 0.45315358
0.86735554 0.45350001
0.86608423 0.45381033
0.86479814 0.45409220
