# s/c    P_w
0.99614174 0.58547711
0.99487043 0.58520008
0.99359912 0.58493164
0.99232782 0.58467151
0.99105651 0.58441930
0.98977043 0.58417417
0.98849912 0.58393436
0.98722781 0.58369733
0.98595651 0.58346031
0.98468520 0.58322047
0.98339912 0.58297539
0.98212781 0.58272286
0.98085651 0.58246096
0.97958520 0.58218970
0.97829911 0.58191087
0.97702781 0.58162878
0.97575650 0.58134869
0.97448520 0.58107579
0.97321389 0.58081516
0.97192780 0.58056897
0.97065650 0.58033834
0.96938519 0.58012333
0.96811389 0.57992195
0.96682780 0.57973008
0.96555649 0.57954200
0.96428519 0.57935180
0.96301388 0.57915483
0.96174258 0.57894636
0.96045649 0.57871992
0.95918518 0.57846959
0.95791388 0.57819375
0.95664257 0.57790182
0.95535648 0.57760938
0.95408518 0.57732986
0.95281387 0.57707098
0.95154257 0.57683305
0.95025648 0.57661434
0.94898517 0.57641254
0.94771387 0.57622512
0.94644256 0.57604927
0.94515647 0.57588075
0.94388517 0.57571583
0.94261386 0.57554958
0.94134256 0.57537325
0.94005647 0.57517767
0.93878516 0.57495660
0.93751386 0.57471200
0.93624255 0.57445191
0.93495647 0.57418500
0.93368516 0.57391920
0.93241385 0.57365878
0.93114255 0.57340534
0.92985646 0.57315909
0.92858516 0.57291994
0.92731385 0.57268809
0.92604254 0.57246304
0.92475646 0.57224310
0.92348515 0.57202290
0.92221385 0.57179453
0.92094254 0.57154908
0.91965645 0.57127899
0.91838515 0.57098318
0.91711384 0.57066372
0.91582775 0.57032429
0.91455645 0.56997019
0.91328514 0.56960743
0.91201384 0.56924184
0.91072775 0.56887917
0.90945644 0.56852561
0.90818514 0.56818367
0.90691383 0.56785369
0.90562774 0.56753456
0.90435644 0.56722368
0.90308513 0.56691807
0.90179905 0.56661460
0.90052774 0.56630997
0.89925643 0.56600157
0.89797035 0.56568676
0.89669904 0.56536151
0.89542774 0.56502333
0.89415643 0.56467023
0.89287034 0.56430133
0.89159904 0.56391791
0.89032773 0.56352184
