# s/c    P_stat
0.82522507 0.58335245
0.82395376 0.58326549
0.82266767 0.58318050
0.82139637 0.58309710
0.82012506 0.58301493
0.81883897 0.58293365
0.81756767 0.58285295
0.81628158 0.58277243
0.81501027 0.58269170
0.81373897 0.58261055
0.81245288 0.58252919
0.81118157 0.58244848
0.80989549 0.58236945
0.80862418 0.58229301
0.80735288 0.58222005
0.80606679 0.58215106
0.80479548 0.58208643
0.80350939 0.58202644
0.80223809 0.58197101
0.80096678 0.58191977
0.79968070 0.58187196
0.79840939 0.58182662
0.79712330 0.58178256
0.79585200 0.58173853
0.79458069 0.58169367
0.79329460 0.58164750
0.79202330 0.58159999
0.79073721 0.58155153
0.78946590 0.58150277
0.78817982 0.58145451
0.78690851 0.58140762
0.78563720 0.58136294
0.78435112 0.58132139
0.78307981 0.58128391
0.78179372 0.58125139
0.78052242 0.58122466
0.77923633 0.58120348
0.77796502 0.58118701
0.77669372 0.58117420
0.77540763 0.58116359
0.77413633 0.58115360
0.77285024 0.58114257
0.77157893 0.58112871
0.77029284 0.58111010
0.76902154 0.58108560
0.76773545 0.58105507
0.76646414 0.58101917
0.76517806 0.58097887
0.76390675 0.58093491
0.76263545 0.58088769
0.76134936 0.58083747
0.76007805 0.58078430
0.75879196 0.58072815
0.75752066 0.58066894
0.75623457 0.58060660
0.75496327 0.58054104
0.75367718 0.58047223
0.75240587 0.58040023
0.75111978 0.58032513
0.74984848 0.58024708
0.74856239 0.58016626
0.74729108 0.58008281
0.74600500 0.57999675
0.74473369 0.57990798
0.74344760 0.57981636
0.74217630 0.57972176
0.74089021 0.57962410
0.73961890 0.57952344
0.73833282 0.57941990
0.73706151 0.57931381
0.73577542 0.57920562
0.73450412 0.57909626
0.73321803 0.57898708
0.73194672 0.57888015
0.73066064 0.57877831
0.72938933 0.57868297
0.72810324 0.57859423
0.72683194 0.57851056
0.72554585 0.57842928
0.72427454 0.57834779
0.72298845 0.57826384
0.72171715 0.57817658
0.72043106 0.57808537
0.71915976 0.57798907
0.71787367 0.57788639
0.71660236 0.57777592
0.71531627 0.57765814
0.71404497 0.57753729
0.71275888 0.57741896
0.71148758 0.57730747
0.71020149 0.57720455
0.70893018 0.57710993
0.70764409 0.57702266
0.70635801 0.57694155
0.70508670 0.57686592
0.70380061 0.57679478
0.70252931 0.57672644
0.70124322 0.57665798
0.69997191 0.57658520
0.69868582 0.57650530
0.69741452 0.57641887
0.69612843 0.57632888
0.69484234 0.57623888
0.69357104 0.57615140
0.69228495 0.57606765
0.69101364 0.57598792
0.68972756 0.57591154
0.68845625 0.57583738
0.68717016 0.57576362
0.68589886 0.57568917
0.68461277 0.57561674
0.68332668 0.57555139
0.68205538 0.57549790
0.68076929 0.57545879
0.67949798 0.57543420
0.67821189 0.57542471
0.67692581 0.57542964
0.67565450 0.57544823
0.67436841 0.57547754
0.67309711 0.57550998
0.67181102 0.57553981
0.67053971 0.57556432
0.66925363 0.57558443
0.66796754 0.57560421
0.66669623 0.57562857
0.66541014 0.57566265
0.66413884 0.57571093
0.66285275 0.57577557
0.66156666 0.57585577
0.66029536 0.57594909
0.65900927 0.57605296
