# s/c    M_iso_mean    M_iso_std
0.48973347 0.96617462 0.00852613
0.49101956 0.96728426 0.00863701
0.49230565 0.96837899 0.00875069
0.49359173 0.96946838 0.00886880
0.49487782 0.97056035 0.00899209
0.49616391 0.97166147 0.00912126
0.49743522 0.97277377 0.00925545
0.49872130 0.97389421 0.00939333
0.50000739 0.97501552 0.00953283
0.50129348 0.97612686 0.00967123
0.50257957 0.97721628 0.00980675
0.50386566 0.97827422 0.00993743
0.50515174 0.97929423 0.01006226
0.50643783 0.98027813 0.01018313
0.50770914 0.98123865 0.01030385
0.50899523 0.98218800 0.01042743
0.51028131 0.98313057 0.01055440
0.51156740 0.98405945 0.01068176
0.51285349 0.98495841 0.01080451
0.51413958 0.98581494 0.01092062
0.51542567 0.98662407 0.01102978
0.51669697 0.98738855 0.01113309
0.51798306 0.98812249 0.01123504
0.51926915 0.98884863 0.01134149
0.52055524 0.98959293 0.01145632
0.52184132 0.99036873 0.01157963
0.52312741 0.99117486 0.01170925
0.52439872 0.99198529 0.01183765
0.52568480 0.99274468 0.01195255
0.52697089 0.99341651 0.01204468
0.52825698 0.99399362 0.01211513
0.52954307 0.99449607 0.01217552
0.53082916 0.99497957 0.01223981
0.53210046 0.99548980 0.01231726
0.53338655 0.99604226 0.01240749
0.53467264 0.99661096 0.01249923
0.53595873 0.99714268 0.01258053
0.53724481 0.99761545 0.01264634
0.53853090 0.99804060 0.01269981
0.53980221 0.99845755 0.01275540
0.54108830 0.99891932 0.01282488
0.54237438 0.99944499 0.01290694
0.54366047 1.00001529 0.01299354
0.54494656 1.00059735 0.01307599
0.54621787 1.00116137 0.01314678
0.54750395 1.00168652 0.01320192
0.54879004 1.00217762 0.01324715
0.55007613 1.00266823 0.01329163
0.55134744 1.00318564 0.01334082
0.55263352 1.00374484 0.01339631
0.55391961 1.00434076 0.01345401
0.55520570 1.00494376 0.01350618
0.55649179 1.00552523 0.01354722
0.55776309 1.00607846 0.01357749
0.55904918 1.00662054 0.01360297
0.56033527 1.00718340 0.01363316
0.56162136 1.00778907 0.01367171
0.56289266 1.00843926 0.01371696
0.56417875 1.00912124 0.01376549
0.56546484 1.00980829 0.01381043
0.56675093 1.01047936 0.01384790
0.56803702 1.01112052 0.01387670
0.56930832 1.01171965 0.01389485
0.57059441 1.01227191 0.01390278
0.57188050 1.01278503 0.01390589
0.57316659 1.01327890 0.01390982
0.57443789 1.01377655 0.01391902
0.57572398 1.01430039 0.01393544
0.57701007 1.01487132 0.01395935
0.57829616 1.01550071 0.01398933
0.57956746 1.01618784 0.01402397
0.58085355 1.01691426 0.01406046
0.58213964 1.01764040 0.01408953
0.58341094 1.01833231 0.01410593
0.58469703 1.01897387 0.01410721
0.58598312 1.01956048 0.01409436
0.58726921 1.02010152 0.01407415
0.58854051 1.02061703 0.01405113
0.58982660 1.02112235 0.01402881
0.59111269 1.02162464 0.01400827
0.59239878 1.02211711 0.01398540
0.59367008 1.02257991 0.01395470
0.59495617 1.02300227 0.01391416
0.59624226 1.02339632 0.01386872
0.59751356 1.02378936 0.01382675
0.59879965 1.02420650 0.01379284
0.60008574 1.02466658 0.01376871
0.60137183 1.02517973 0.01375370
0.60264313 1.02574332 0.01374557
0.60392922 1.02633913 0.01373916
0.60521531 1.02693450 0.01372579
0.60648661 1.02749465 0.01369911
0.60777270 1.02799049 0.01365247
0.60905879 1.02841454 0.01358541
0.61033010 1.02878999 0.01350872
0.61161618 1.02915029 0.01343187
0.61290227 1.02952438 0.01335960
0.61417358 1.02992970 0.01329331
0.61545967 1.03036840 0.01323130
0.61674575 1.03083492 0.01317198
0.61801706 1.03132559 0.01311497
0.61930315 1.03183778 0.01306000
0.62058924 1.03236731 0.01300647
0.62187532 1.03291333 0.01295424
0.62314663 1.03348024 0.01290356
0.62443272 1.03407952 0.01285640
0.62571880 1.03471919 0.01281283
0.62699011 1.03539569 0.01277068
0.62827620 1.03608781 0.01272512
0.62954750 1.03675670 0.01266636
0.63083359 1.03737668 0.01259062
0.63211968 1.03794070 0.01249939
0.63339099 1.03844665 0.01239458
0.63467707 1.03890115 0.01228083
0.63596316 1.03932262 0.01216419
0.63723447 1.03973167 0.01205009
0.63852056 1.04015154 0.01194301
0.63980664 1.04060944 0.01184701
0.64107795 1.04112754 0.01176467
0.64236404 1.04171576 0.01169533
0.64365012 1.04237074 0.01163610
0.64492143 1.04308502 0.01158432
0.64620752 1.04385086 0.01153792
0.64749361 1.04466141 0.01149576
0.64876491 1.04550973 0.01145690
0.65005100 1.04638719 0.01141990
0.65132231 1.04728458 0.01138332
0.65260839 1.04819114 0.01134535
0.65389448 1.04909574 0.01130394
0.65516579 1.04998712 0.01125674
0.65645188 1.05085378 0.01120186
0.65772318 1.05169107 0.01113980
0.65900927 1.05249938 0.01107259
0.66029536 1.05328088 0.01100267
0.66156666 1.05403447 0.01093092
0.66285275 1.05475165 0.01085519
0.66413884 1.05542701 0.01077325
0.66541014 1.05606529 0.01068640
0.66669623 1.05668671 0.01060222
0.66796754 1.05731766 0.01052868
0.66925363 1.05797615 0.01046948
0.67053971 1.05867200 0.01042560
0.67181102 1.05940809 0.01039520
0.67309711 1.06017994 0.01037649
0.67436841 1.06096996 0.01036451
0.67565450 1.06174549 0.01034855
0.67692581 1.06247789 0.01032289
0.67821189 1.06315660 0.01028692
0.67949798 1.06377792 0.01024103
0.68076929 1.06433727 0.01018585
0.68205538 1.06483064 0.01012024
0.68332668 1.06525829 0.01004466
0.68461277 1.06563758 0.00996569
0.68589886 1.06600528 0.00989598
0.68717016 1.06639336 0.00984470
0.68845625 1.06681049 0.00981158
0.68972756 1.06724729 0.00979169
0.69101364 1.06769041 0.00977969
0.69228495 1.06813287 0.00977314
0.69357104 1.06856934 0.00977085
0.69484234 1.06899551 0.00977110
0.69612843 1.06941433 0.00977518
0.69741452 1.06983216 0.00978523
0.69868582 1.07025778 0.00980327
0.69997191 1.07069559 0.00983016
0.70124322 1.07113837 0.00986267
0.70252931 1.07157103 0.00989558
0.70380061 1.07198153 0.00992568
0.70508670 1.07237297 0.00995534
0.70635801 1.07275070 0.00998617
0.70764409 1.07311340 0.01001636
0.70893018 1.07345723 0.01004351
0.71020149 1.07377703 0.01006535
0.71148758 1.07406770 0.01007980
0.71275888 1.07432685 0.01008606
