# s/c   cf_mean    cf_std
0.49487782 0.08377465 0.03628171
0.49616391 0.08377430 0.03630017
0.49743522 0.08379486 0.03631681
0.49872130 0.08381418 0.03632874
0.50000739 0.08381357 0.03633624
0.50129348 0.08377757 0.03633976
0.50257957 0.08369565 0.03633842
0.50386566 0.08356428 0.03633292
0.50515174 0.08340165 0.03632557
0.50643783 0.08324238 0.03632345
0.50770914 0.08312205 0.03633051
0.50899523 0.08305570 0.03634603
0.51028131 0.08301001 0.03636091
0.51156740 0.08293866 0.03636788
0.51285349 0.08281130 0.03636615
0.51413958 0.08262842 0.03635864
0.51542567 0.08240896 0.03635087
0.51669697 0.08217920 0.03634268
0.51798306 0.08199329 0.03634530
0.51926915 0.08190745 0.03636420
0.52055524 0.08191829 0.03638622
0.52184132 0.08201234 0.03641019
0.52312741 0.08212925 0.03643402
0.52439872 0.08214384 0.03643673
0.52568480 0.08197419 0.03640865
0.52697089 0.08163248 0.03636048
0.52825698 0.08123476 0.03631364
0.52954307 0.08090973 0.03629465
0.53082916 0.08075497 0.03630793
0.53210046 0.08079884 0.03634357
0.53338655 0.08090278 0.03637554
0.53467264 0.08090523 0.03637567
0.53595873 0.08075767 0.03634993
0.53724481 0.08050864 0.03631161
0.53853090 0.08026916 0.03627841
0.53980221 0.08018442 0.03628485
0.54108830 0.08028874 0.03631941
0.54237438 0.08043814 0.03633644
0.54366047 0.08055599 0.03634244
0.54494656 0.08059524 0.03633526
0.54621787 0.08048574 0.03629646
0.54750395 0.08029966 0.03625097
0.54879004 0.08013961 0.03622388
0.55007613 0.08006397 0.03621290
0.55134744 0.08010202 0.03621504
0.55263352 0.08021622 0.03622060
0.55391961 0.08031513 0.03621254
0.55520570 0.08032317 0.03618472
0.55649179 0.08024220 0.03614262
0.55776309 0.08012907 0.03610022
0.55904918 0.08006946 0.03607457
0.56033527 0.08011336 0.03606963
0.56162136 0.08024063 0.03607203
0.56289266 0.08038747 0.03607217
0.56417875 0.08049585 0.03606186
0.56546484 0.08052635 0.03603890
0.56675093 0.08047195 0.03600855
0.56803702 0.08034431 0.03597333
0.56930832 0.08014728 0.03593380
0.57059441 0.07991303 0.03589486
0.57188050 0.07969324 0.03586893
0.57316659 0.07953326 0.03585844
0.57443789 0.07945551 0.03585564
0.57572398 0.07946718 0.03585647
0.57701007 0.07956550 0.03585551
0.57829616 0.07973528 0.03585435
0.57956746 0.07992340 0.03584770
0.58085355 0.08006292 0.03583344
0.58213964 0.08009177 0.03580678
0.58341094 0.07998972 0.03576418
0.58469703 0.07979502 0.03571651
0.58598312 0.07957142 0.03567741
0.58726921 0.07936840 0.03565363
0.58854051 0.07920552 0.03563969
0.58982660 0.07910440 0.03563775
0.59111269 0.07904055 0.03563941
0.59239878 0.07894399 0.03562757
0.59367008 0.07877634 0.03560004
0.59495617 0.07857838 0.03557359
0.59624226 0.07840493 0.03555932
0.59751356 0.07829842 0.03556100
0.59879965 0.07827590 0.03557596
0.60008574 0.07832613 0.03559508
0.60137183 0.07843037 0.03561611
0.60264313 0.07854456 0.03563141
0.60392922 0.07861448 0.03563755
0.60521531 0.07858228 0.03562540
0.60648661 0.07842150 0.03559273
0.60777270 0.07815118 0.03554428
0.60905879 0.07783396 0.03549417
0.61033010 0.07756749 0.03546631
0.61161618 0.07739784 0.03545785
0.61290227 0.07731888 0.03545977
0.61417358 0.07730002 0.03546505
0.61545967 0.07729285 0.03546563
0.61674575 0.07727755 0.03546444
0.61801706 0.07725608 0.03546513
0.61930315 0.07722514 0.03546627
0.62058924 0.07718545 0.03546792
0.62187532 0.07713993 0.03546670
0.62314663 0.07711571 0.03546656
0.62443272 0.07713696 0.03547068
0.62571880 0.07719505 0.03547340
0.62699011 0.07724543 0.03547053
0.62827620 0.07722251 0.03545127
0.62954750 0.07708316 0.03541232
0.63083359 0.07684637 0.03536633
0.63211968 0.07655212 0.03532105
0.63339099 0.07622994 0.03528112
0.63467707 0.07591446 0.03525138
0.63596316 0.07563851 0.03523457
0.63723447 0.07542620 0.03522939
0.63852056 0.07529176 0.03523369
0.63980664 0.07525077 0.03524843
0.64107795 0.07529511 0.03527123
0.64236404 0.07538356 0.03529173
0.64365012 0.07547945 0.03530593
0.64492143 0.07557004 0.03531596
0.64620752 0.07564943 0.03532195
0.64749361 0.07571513 0.03532585
0.64876491 0.07576092 0.03532700
0.65005100 0.07578164 0.03532534
0.65132231 0.07577130 0.03532022
0.65260839 0.07572478 0.03531137
0.65389448 0.07563485 0.03529653
0.65516579 0.07549886 0.03527572
0.65645188 0.07532235 0.03525043
0.65772318 0.07511963 0.03522529
0.65900927 0.07491217 0.03520731
0.66029536 0.07470185 0.03519535
0.66156666 0.07447730 0.03518688
0.66285275 0.07421477 0.03517414
0.66413884 0.07391332 0.03515646
0.66541014 0.07361385 0.03514642
0.66669623 0.07336710 0.03515606
0.66796754 0.07319791 0.03518577
0.66925363 0.07309523 0.03522557
0.67053971 0.07304032 0.03526485
0.67181102 0.07301811 0.03530133
0.67309711 0.07300415 0.03533216
0.67436841 0.07294213 0.03535063
0.67565450 0.07277914 0.03534756
0.67692581 0.07252543 0.03533133
0.67821189 0.07222303 0.03531645
0.67949798 0.07189321 0.03530414
0.68076929 0.07153781 0.03529157
0.68205538 0.07115298 0.03527185
0.68332668 0.07076147 0.03524935
0.68461277 0.07042565 0.03524166
0.68589886 0.07020772 0.03526549
0.68717016 0.07008927 0.03530826
0.68845625 0.06999731 0.03534800
0.68972756 0.06989154 0.03537915
0.69101364 0.06976858 0.03540541
0.69228495 0.06962961 0.03542713
0.69357104 0.06947708 0.03544481
0.69484234 0.06931865 0.03545861
0.69612843 0.06917170 0.03547132
0.69741452 0.06905519 0.03548500
0.69868582 0.06898303 0.03550189
0.69997191 0.06894512 0.03551811
0.70124322 0.06889436 0.03552074
0.70252931 0.06880725 0.03551056
0.70380061 0.06869950 0.03550089
0.70508670 0.06859015 0.03550005
0.70635801 0.06847652 0.03550526
0.70764409 0.06834430 0.03551067
0.70893018 0.06818889 0.03551450
0.71020149 0.06800666 0.03551564
0.71148758 0.06780304 0.03551518
0.71275888 0.06758943 0.03551386
0.71404497 0.06739984 0.03551841
0.71531627 0.06728248 0.03553939
0.71660236 0.06724336 0.03557035
0.71787367 0.06723508 0.03559341
0.71915976 0.06721462 0.03560078
0.72043106 0.06717327 0.03559599
0.72171715 0.06711581 0.03558399
0.72298845 0.06705416 0.03557011
0.72427454 0.06699877 0.03555994
0.72554585 0.06695183 0.03555627
0.72683194 0.06689486 0.03555484
0.72810324 0.06679984 0.03554895
0.72938933 0.06665596 0.03553437
0.73066064 0.06648703 0.03552069
0.73194672 0.06632878 0.03551597
0.73321803 0.06620388 0.03552336
0.73450412 0.06611706 0.03553996
0.73577542 0.06605446 0.03555661
0.73706151 0.06600165 0.03556927
0.73833282 0.06595194 0.03557649
0.73961890 0.06590234 0.03557864
0.74089021 0.06585089 0.03557581
0.74217630 0.06579475 0.03556768
0.74344760 0.06573243 0.03555430
0.74473369 0.06566301 0.03553582
