# y/t    Temp_mean   Temp_std
0.50251256 0.84889242 0.01197083
0.50753769 0.84778779 0.01274770
0.51256281 0.84689716 0.01342071
0.51758794 0.84606461 0.01406629
0.52261307 0.84551071 0.01457219
0.52763819 0.84503089 0.01504634
0.53266332 0.84475223 0.01542456
0.53768844 0.84459269 0.01575963
0.54271357 0.84456960 0.01604317
0.54773869 0.84469682 0.01628052
0.55276382 0.84489477 0.01649622
0.55778894 0.84528859 0.01666137
0.56281407 0.84574781 0.01681032
0.56783920 0.84634576 0.01691892
0.57286432 0.84705231 0.01699152
0.57788945 0.84783802 0.01703543
0.58291457 0.84878643 0.01700629
0.58793970 0.84977524 0.01695725
0.59296482 0.85093576 0.01680933
0.59798995 0.85216171 0.01661765
0.60301508 0.85346856 0.01636203
0.60804020 0.85488364 0.01601631
0.61306533 0.85631259 0.01564725
0.61809045 0.85784176 0.01516125
0.62311558 0.85935974 0.01464523
0.62814070 0.86090973 0.01406121
0.63316583 0.86241866 0.01338431
0.63819095 0.86389494 0.01265831
0.64321608 0.86526843 0.01182210
0.64824121 0.86652420 0.01090779
0.65326633 0.86770626 0.00996918
0.65829146 0.86867161 0.00895205
0.66331658 0.86955574 0.00796024
0.66834171 0.87030027 0.00695737
0.67336683 0.87084851 0.00589925
0.67839196 0.87131342 0.00482465
0.68341709 0.87166537 0.00371250
0.68844221 0.87196584 0.00267148
0.69346734 0.87224395 0.00167510
0.69849246 0.87250756 0.00085413
0.70351759 0.87274228 0.00020382
0.70854271 0.87294908 0.00040186
0.71356784 0.87306557 0.00074550
0.71859296 0.87306610 0.00095104
0.72361809 0.87298573 0.00105336
0.72864322 0.87277721 0.00098800
0.73366834 0.87253120 0.00086647
0.73869347 0.87225760 0.00070905
0.74371859 0.87198068 0.00054475
0.74874372 0.87171208 0.00039494
0.75376884 0.87145487 0.00026176
0.75879397 0.87122459 0.00016722
0.76381910 0.87100435 0.00009425
0.76884422 0.87079805 0.00006359
0.77386935 0.87060454 0.00007711
0.77889447 0.87041628 0.00010585
0.78391960 0.87023545 0.00013232
0.78894472 0.87006040 0.00015366
0.79396985 0.86988886 0.00017273
0.79899497 0.86972265 0.00018692
0.80402010 0.86955981 0.00019828
0.80904523 0.86939979 0.00020658
0.81407035 0.86924458 0.00021118
0.81909548 0.86909061 0.00021445
0.82412060 0.86893772 0.00021678
0.82914573 0.86878687 0.00021578
0.83417085 0.86863689 0.00021441
0.83919598 0.86848798 0.00021195
0.84422111 0.86834157 0.00020773
0.84924623 0.86819601 0.00020304
0.85427136 0.86805348 0.00019736
0.85929648 0.86791409 0.00019141
0.86432161 0.86777566 0.00018459
0.86934673 0.86763980 0.00017736
0.87437186 0.86750402 0.00017058
0.87939698 0.86736805 0.00016319
0.88442211 0.86723210 0.00015588
0.88944724 0.86709268 0.00014767
0.89447236 0.86695354 0.00014079
0.89949749 0.86680619 0.00013426
0.90452261 0.86665891 0.00012699
0.90954774 0.86650634 0.00011935
0.91457286 0.86635286 0.00011312
0.91959799 0.86620910 0.00010644
0.92462312 0.86606922 0.00010129
0.92964824 0.86595646 0.00009844
0.93467337 0.86586972 0.00009352
0.93969849 0.86576738 0.00008914
0.94472362 0.86564404 0.00008433
0.94974874 0.86551747 0.00008056
0.95477387 0.86538405 0.00007797
0.95979899 0.86524515 0.00007633
0.96482412 0.86510867 0.00007590
0.96984925 0.86498222 0.00007593
0.97487437 0.86485813 0.00007640
0.97989950 0.86473445 0.00007767
0.98492462 0.86460890 0.00007969
0.98994975 0.86448332 0.00008247
0.99497487 0.86460245 0.00007896
1.00000000 0.86594841 0.00009731
