# s/c    cf
0.76517806 0.02106821
0.76390675 0.02104073
0.76263545 0.02101969
0.76134936 0.02100318
0.76007805 0.02099008
0.75879196 0.02098017
0.75752066 0.02097378
0.75623457 0.02097165
0.75496327 0.02097470
0.75367718 0.02098390
0.75240587 0.02100008
0.75111978 0.02102369
0.74984848 0.02105448
0.74856239 0.02109130
0.74729108 0.02113216
0.74600500 0.02117497
0.74473369 0.02121861
0.74344760 0.02126332
0.74217630 0.02131041
0.74089021 0.02136178
0.73961890 0.02141952
0.73833282 0.02148608
0.73706151 0.02156408
0.73577542 0.02165725
0.73450412 0.02177075
0.73321803 0.02191182
0.73194672 0.02207990
0.73066064 0.02226423
0.72938933 0.02244599
0.72810324 0.02260186
0.72683194 0.02271980
0.72554585 0.02280318
0.72427454 0.02286758
0.72298845 0.02292480
0.72171715 0.02297818
0.72043106 0.02302799
0.71915976 0.02307435
0.71787367 0.02312215
0.71660236 0.02318699
0.71531627 0.02330003
0.71404497 0.02348120
0.71275888 0.02371462
0.71148758 0.02396592
0.71020149 0.02421140
0.70893018 0.02444027
0.70764409 0.02465126
0.70635801 0.02484452
0.70508670 0.02502113
0.70380061 0.02517867
0.70252931 0.02530580
0.70124322 0.02539733
0.69997191 0.02546764
0.69868582 0.02555028
0.69741452 0.02567388
0.69612843 0.02584350
0.69484234 0.02604601
0.69357104 0.02626626
0.69228495 0.02649214
0.69101364 0.02671744
0.68972756 0.02694062
0.68845625 0.02716258
0.68717016 0.02739106
0.68589886 0.02765521
0.68461277 0.02798227
0.68332668 0.02835883
0.68205538 0.02874740
0.68076929 0.02912572
0.67949798 0.02948396
0.67821189 0.02981486
0.67692581 0.03011278
0.67565450 0.03035636
0.67436841 0.03052919
0.67309711 0.03063236
0.67181102 0.03070808
0.67053971 0.03080887
0.66925363 0.03095816
0.66796754 0.03116916
0.66669623 0.03143974
0.66541014 0.03175522
0.66413884 0.03208456
0.66285275 0.03239288
0.66156666 0.03265807
0.66029536 0.03287997
0.65900927 0.03307112
0.65772318 0.03324017
0.65645188 0.03338466
0.65516579 0.03349651
0.65389448 0.03357159
0.65260839 0.03361049
0.65132231 0.03361737
0.65005100 0.03359716
0.64876491 0.03355509
0.64749361 0.03349801
0.64620752 0.03343099
0.64492143 0.03336207
0.64365012 0.03329651
0.64236404 0.03324056
0.64107795 0.03320976
0.63980664 0.03322922
0.63852056 0.03332067
0.63723447 0.03348290
0.63596316 0.03369959
0.63467707 0.03395202
0.63339099 0.03421576
0.63211968 0.03446265
0.63083359 0.03466631
0.62954750 0.03480473
0.62827620 0.03485101
0.62699011 0.03480609
0.62571880 0.03471087
0.62443272 0.03462036
0.62314663 0.03457612
0.62187532 0.03457917
0.62058924 0.03461252
0.61930315 0.03465448
0.61801706 0.03469607
0.61674575 0.03473347
0.61545967 0.03476337
0.61417358 0.03478570
0.61290227 0.03481944
0.61161618 0.03490152
0.61033010 0.03504984
0.60905879 0.03525270
0.60777270 0.03546136
0.60648661 0.03562007
0.60521531 0.03569415
0.60392922 0.03567978
0.60264313 0.03559978
0.60137183 0.03550011
0.60008574 0.03543221
0.59879965 0.03542819
0.59751356 0.03550188
0.59624226 0.03564554
0.59495617 0.03582848
0.59367008 0.03600174
0.59239878 0.03612624
0.59111269 0.03619514
0.58982660 0.03625061
0.58854051 0.03633928
0.58726921 0.03647138
0.58598312 0.03662611
0.58469703 0.03677511
0.58341094 0.03688093
0.58213964 0.03690080
0.58085355 0.03681504
0.57956746 0.03663882
0.57829616 0.03642738
0.57701007 0.03624708
0.57572398 0.03614235
0.57443789 0.03612981
0.57316659 0.03620182
0.57188050 0.03634139
0.57059441 0.03651386
0.56930832 0.03667823
0.56803702 0.03680187
0.56675093 0.03686274
0.56546484 0.03685951
0.56417875 0.03678749
0.56289266 0.03666243
0.56162136 0.03651971
0.56033527 0.03640576
0.55904918 0.03636405
0.55776309 0.03639080
0.55649179 0.03643740
0.55520570 0.03644446
0.55391961 0.03638372
0.55263352 0.03626343
0.55134744 0.03615011
0.55007613 0.03610912
0.54879004 0.03616002
0.54750395 0.03626914
0.54621787 0.03638111
0.54494656 0.03643447
0.54366047 0.03639935
0.54237438 0.03631800
0.54108830 0.03623590
0.53980221 0.03623076
0.53853090 0.03636976
0.53724481 0.03660290
0.53595873 0.03683545
0.53467264 0.03698847
0.53338655 0.03703558
0.53210046 0.03703029
0.53082916 0.03708841
0.52954307 0.03730077
0.52825698 0.03762036
0.52697089 0.03795591
0.52568480 0.03822889
0.52439872 0.03836720
0.52312741 0.03837657
0.52184132 0.03832431
0.52055524 0.03830189
0.51926915 0.03836617
0.51798306 0.03852390
0.51669697 0.03875920
0.51542567 0.03902390
0.51413958 0.03927806
0.51285349 0.03948885
0.51156740 0.03964396
0.51028131 0.03975202
0.50899523 0.03984437
0.50770914 0.03995728
0.50643783 0.04010673
0.50515174 0.04027781
0.50386566 0.04044194
0.50257957 0.04057647
0.50129348 0.04066858
0.50000739 0.04072429
0.49872130 0.04075321
0.49743522 0.04077132
0.49616391 0.04079842
0.49487782 0.04085081
0.49359173 0.04093900
0.49230565 0.04106285
0.49101956 0.04121551
0.48973347 0.04138743
0.48844738 0.04156318
0.48716129 0.04171615
0.48587521 0.04181329
0.48460390 0.04183064
0.48331781 0.04179488
0.48203172 0.04177396
0.48074564 0.04182900
0.47945955 0.04196783
0.47817346 0.04214579
0.47688737 0.04230738
0.47560128 0.04241218
0.47431520 0.04243956
0.47302911 0.04240425
0.47174302 0.04236002
0.47045693 0.04238209
0.46917084 0.04252722
0.46789954 0.04276526
0.46661345 0.04298595
0.46532736 0.04305737
0.46404127 0.04294539
0.46275519 0.04284564
0.46146910 0.04299643
0.46018301 0.04338796
0.45889692 0.04383600
0.45761083 0.04420267
0.45632474 0.04444416
0.45503866 0.04460266
0.45375257 0.04471649
0.45246648 0.04476668
0.45118039 0.04460213
0.44989430 0.04414807
0.44860822 0.04357969
0.44732213 0.04315948
0.44603604 0.04300820
0.44474995 0.04299801
0.44346386 0.04298586
0.44217778 0.04288901
0.44089169 0.04270255
0.43960560 0.04246870
0.43831951 0.04222263
0.43703342 0.04198458
0.43574734 0.04176080
0.43446125 0.04155551
0.43317516 0.04137528
0.43188907 0.04123573
0.43060298 0.04115170
0.42931690 0.04111317
0.42803081 0.04108886
0.42674472 0.04106991
0.42545863 0.04106954
0.42417254 0.04109256
0.42288645 0.04108567
0.42160037 0.04084348
0.42031428 0.04027376
0.41902819 0.03957899
0.41774210 0.03908597
0.41645601 0.03890591
0.41516993 0.03887832
0.41388384 0.03888053
0.41259775 0.03892942
0.41131166 0.03908395
0.41002557 0.03925884
0.40873949 0.03933697
0.40745340 0.03933578
0.40616731 0.03937304
0.40488122 0.03953799
0.40359513 0.03986384
0.40230905 0.04027715
0.40102296 0.04060963
0.39973687 0.04072555
0.39843600 0.04062778
0.39714991 0.04045099
0.39586382 0.04029199
0.39457773 0.04017745
0.39329165 0.04009816
0.39200556 0.04003426
0.39071947 0.03998530
0.38943338 0.03998406
0.38814729 0.04005981
0.38686121 0.04020968
0.38557512 0.04041463
0.38428903 0.04064315
0.38298816 0.04083486
0.38170207 0.04090809
0.38041598 0.04084915
0.37912989 0.04076588
0.37784381 0.04074475
0.37655772 0.04077846
0.37527163 0.04083119
0.37398554 0.04087492
0.37269945 0.04089423
0.37139858 0.04091174
0.37011250 0.04098825
0.36882641 0.04116368
0.36754032 0.04138947
0.36625423 0.04157387
0.36496814 0.04167219
0.36368206 0.04169134
0.36238118 0.04167851
0.36109510 0.04167843
0.35980901 0.04170201
0.35852292 0.04172911
0.35723683 0.04177414
0.35595074 0.04190055
0.35466466 0.04211920
0.35336379 0.04238335
0.35207770 0.04263819
0.35079161 0.04286763
0.34950552 0.04307042
0.34821943 0.04322634
0.34693335 0.04332884
0.34563247 0.04340396
0.34434639 0.04350101
0.34306030 0.04364994
0.34177421 0.04386275
0.34048812 0.04413877
0.33918725 0.04447220
0.33790116 0.04485483
0.33661508 0.04527586
