# s/c    cf
0.67565450 0.14442580
0.67436841 0.14445356
0.67309711 0.14433227
0.67181102 0.14413724
0.67053971 0.14395382
0.66925363 0.14382608
0.66796754 0.14379109
0.66669623 0.14387696
0.66541014 0.14407708
0.66413884 0.14434403
0.66285275 0.14460410
0.66156666 0.14479724
0.66029536 0.14492377
0.65900927 0.14501508
0.65772318 0.14508845
0.65645188 0.14513866
0.65516579 0.14513976
0.65389448 0.14507836
0.65260839 0.14495812
0.65132231 0.14479116
0.65005100 0.14458648
0.64876491 0.14435384
0.64749361 0.14410363
0.64620752 0.14384619
0.64492143 0.14359055
0.64365012 0.14334597
0.64236404 0.14311878
0.64107795 0.14292121
0.63980664 0.14279617
0.63852056 0.14278827
0.63723447 0.14289754
0.63596316 0.14309707
0.63467707 0.14336846
0.63339099 0.14368921
0.63211968 0.14402114
0.63083359 0.14431481
0.62954750 0.14453817
0.62827620 0.14462847
0.62699011 0.14455039
0.62571880 0.14436274
0.62443272 0.14416115
0.62314663 0.14401571
0.62187532 0.14394242
0.62058924 0.14392381
0.61930315 0.14392637
0.61801706 0.14394650
0.61674575 0.14398119
0.61545967 0.14402860
0.61417358 0.14407383
0.61290227 0.14411966
0.61161618 0.14423406
0.61033010 0.14445331
0.60905879 0.14478657
0.60777270 0.14516180
0.60648661 0.14545910
0.60521531 0.14561906
0.60392922 0.14562581
0.60264313 0.14551699
0.60137183 0.14536367
0.60008574 0.14524310
0.59879965 0.14520587
0.59751356 0.14528577
0.59624226 0.14549841
0.59495617 0.14581562
0.59367008 0.14615086
0.59239878 0.14641127
0.59111269 0.14655473
0.58982660 0.14663936
0.58854051 0.14677356
0.58726921 0.14698236
0.58598312 0.14724082
0.58469703 0.14753277
0.58341094 0.14779649
0.58213964 0.14795037
0.58085355 0.14794273
0.57956746 0.14780071
0.57829616 0.14759983
0.57701007 0.14742168
0.57572398 0.14732671
0.57443789 0.14732978
0.57316659 0.14743647
0.57188050 0.14763711
0.57059441 0.14791707
0.56930832 0.14822518
0.56803702 0.14849019
0.56675093 0.14867602
0.56546484 0.14878270
0.56417875 0.14879737
0.56289266 0.14872570
0.56162136 0.14861285
0.56033527 0.14853197
0.55904918 0.14855833
0.55776309 0.14872387
0.55649179 0.14895591
0.55520570 0.14913440
0.55391961 0.14920454
0.55263352 0.14915953
0.55134744 0.14908484
0.55007613 0.14910003
0.54879004 0.14924710
0.54750395 0.14950041
0.54621787 0.14981052
0.54494656 0.15004309
0.54366047 0.15010046
0.54237438 0.15008092
0.54108830 0.15004178
0.53980221 0.15003860
0.53853090 0.15027035
0.53724481 0.15071565
0.53595873 0.15117341
0.53467264 0.15151265
0.53338655 0.15166980
0.53210046 0.15168365
0.53082916 0.15175330
0.52954307 0.15204565
0.52825698 0.15253215
0.52697089 0.15309497
0.52568480 0.15357800
0.52439872 0.15385624
0.52312741 0.15390950
0.52184132 0.15383431
0.52055524 0.15378527
0.51926915 0.15383141
0.51798306 0.15397846
0.51669697 0.15425176
0.51542567 0.15458694
0.51413958 0.15490910
0.51285349 0.15517905
0.51156740 0.15535696
0.51028131 0.15544936
0.50899523 0.15549890
0.50770914 0.15556236
0.50643783 0.15567976
0.50515174 0.15583848
0.50386566 0.15599716
0.50257957 0.15611219
0.50129348 0.15616495
0.50000739 0.15616118
0.49872130 0.15611353
0.49743522 0.15603908
0.49616391 0.15595965
0.49487782 0.15589959
0.49359173 0.15587581
0.49230565 0.15589245
0.49101956 0.15594818
0.48973347 0.15603583
0.48844738 0.15615047
0.48716129 0.15625969
0.48587521 0.15630068
0.48460390 0.15621639
0.48331781 0.15603726
0.48203172 0.15586012
0.48074564 0.15577561
0.47945955 0.15581735
0.47817346 0.15592289
0.47688737 0.15601931
0.47560128 0.15603403
0.47431520 0.15592315
0.47302911 0.15568126
0.47174302 0.15537843
0.47045693 0.15512541
0.46917084 0.15504446
0.46789954 0.15516319
0.46661345 0.15531153
