# s/c    cf
0.47560128 0.12716339
0.47431520 0.12717946
0.47302911 0.12709281
0.47174302 0.12695840
0.47045693 0.12686605
0.46917084 0.12691649
0.46789954 0.12713383
0.46661345 0.12737210
0.46532736 0.12742569
0.46404127 0.12724101
0.46275519 0.12700370
0.46146910 0.12701460
0.46018301 0.12735174
0.45889692 0.12780220
0.45761083 0.12817816
0.45632474 0.12838122
0.45503866 0.12848752
0.45375257 0.12860851
0.45246648 0.12874011
0.45118039 0.12869181
0.44989430 0.12828669
0.44860822 0.12769124
0.44732213 0.12722721
0.44603604 0.12706453
0.44474995 0.12709924
0.44346386 0.12714526
0.44217778 0.12709496
0.44089169 0.12695196
0.43960560 0.12676009
0.43831951 0.12654855
0.43703342 0.12633833
0.43574734 0.12613146
0.43446125 0.12593162
0.43317516 0.12574399
0.43188907 0.12558668
0.43060298 0.12549241
0.42931690 0.12546149
0.42803081 0.12544227
0.42674472 0.12540173
0.42545863 0.12537970
0.42417254 0.12541683
0.42288645 0.12549187
0.42160037 0.12538930
0.42031428 0.12492174
0.41902819 0.12425346
0.41774210 0.12378538
0.41645601 0.12365261
0.41516993 0.12366712
0.41388384 0.12369035
0.41259775 0.12372831
0.41131166 0.12389031
0.41002557 0.12409437
0.40873949 0.12417903
0.40745340 0.12414192
0.40616731 0.12411032
0.40488122 0.12418788
0.40359513 0.12442598
0.40230905 0.12479289
0.40102296 0.12512614
0.39973687 0.12525050
0.39843600 0.12516486
0.39714991 0.12501793
0.39586382 0.12489173
0.39457773 0.12480306
0.39329165 0.12474057
0.39200556 0.12468530
0.39071947 0.12462689
0.38943338 0.12459314
0.38814729 0.12461695
0.38686121 0.12470159
0.38557512 0.12483634
0.38428903 0.12501766
0.38298816 0.12520568
0.38170207 0.12531551
0.38041598 0.12531269
0.37912989 0.12529296
0.37784381 0.12533406
0.37655772 0.12540554
0.37527163 0.12546614
0.37398554 0.12549891
0.37269945 0.12549300
0.37139858 0.12547456
0.37011250 0.12552492
0.36882641 0.12569756
0.36754032 0.12593575
0.36625423 0.12613905
0.36496814 0.12624995
0.36368206 0.12627362
0.36238118 0.12626128
0.36109510 0.12625493
0.35980901 0.12627417
0.35852292 0.12629935
0.35723683 0.12634048
0.35595074 0.12647737
0.35466466 0.12672057
0.35336379 0.12700710
0.35207770 0.12726561
0.35079161 0.12745873
0.34950552 0.12761704
0.34821943 0.12774103
0.34693335 0.12782414
0.34563247 0.12789754
0.34434639 0.12800803
0.34306030 0.12817761
0.34177421 0.12840357
0.34048812 0.12867960
0.33918725 0.12898403
0.33790116 0.12930748
0.33661508 0.12965204
0.33532899 0.13002660
0.33404290 0.13046342
0.33275681 0.13095602
0.33145594 0.13143463
0.33016985 0.13185591
0.32888376 0.13221495
0.32759768 0.13249421
0.32629681 0.13272303
0.32501072 0.13297552
0.32372463 0.13333827
0.32243854 0.13385137
0.32115245 0.13451199
0.31985158 0.13529399
0.31856549 0.13615450
0.31727941 0.13703709
0.31599332 0.13785677
0.31469245 0.13860504
0.31340636 0.13934085
0.31212027 0.14004552
0.31083418 0.14064677
0.30953331 0.14112567
0.30824722 0.14155667
0.30696114 0.14206353
