# s/c    cf
0.63596316 0.08273668
0.63467707 0.08303073
0.63339099 0.08338291
0.63211968 0.08375255
0.63083359 0.08409621
0.62954750 0.08436770
0.62827620 0.08450152
0.62699011 0.08446342
0.62571880 0.08431240
0.62443272 0.08414140
0.62314663 0.08401543
0.62187532 0.08395831
0.62058924 0.08394521
0.61930315 0.08394394
0.61801706 0.08395166
0.61674575 0.08396030
0.61545967 0.08396533
0.61417358 0.08395296
0.61290227 0.08394088
0.61161618 0.08399574
0.61033010 0.08416611
0.60905879 0.08445712
0.60777270 0.08479338
0.60648661 0.08505567
0.60521531 0.08517874
0.60392922 0.08513715
0.60264313 0.08496871
0.60137183 0.08474541
0.60008574 0.08454008
0.59879965 0.08441313
0.59751356 0.08440418
0.59624226 0.08453102
0.59495617 0.08476193
0.59367008 0.08500946
0.59239878 0.08517777
0.59111269 0.08523534
0.58982660 0.08524767
0.58854051 0.08531300
0.58726921 0.08547067
0.58598312 0.08569569
0.58469703 0.08596270
0.58341094 0.08620127
0.58213964 0.08632234
0.58085355 0.08627117
0.57956746 0.08607227
0.57829616 0.08580479
0.57701007 0.08554869
0.57572398 0.08537355
0.57443789 0.08529992
0.57316659 0.08533844
0.57188050 0.08548864
0.57059441 0.08572776
0.56930832 0.08599816
0.56803702 0.08623136
0.56675093 0.08638309
0.56546484 0.08644483
0.56417875 0.08639831
0.56289266 0.08624967
0.56162136 0.08605318
0.56033527 0.08588517
0.55904918 0.08583798
0.55776309 0.08593195
0.55649179 0.08608360
0.55520570 0.08618077
0.55391961 0.08615056
0.55263352 0.08599108
0.55134744 0.08580016
0.55007613 0.08569616
0.54879004 0.08573947
0.54750395 0.08589940
0.54621787 0.08609760
0.54494656 0.08620092
0.54366047 0.08611332
0.54237438 0.08592701
0.54108830 0.08569566
0.53980221 0.08551930
0.53853090 0.08559565
0.53724481 0.08587821
0.53595873 0.08617387
0.53467264 0.08633247
0.53338655 0.08628201
0.53210046 0.08608726
0.53082916 0.08596029
0.52954307 0.08608803
0.52825698 0.08643918
0.52697089 0.08687849
0.52568480 0.08724206
0.52439872 0.08738206
0.52312741 0.08727998
0.52184132 0.08704448
0.52055524 0.08683365
0.51926915 0.08672628
0.51798306 0.08675149
0.51669697 0.08692133
0.51542567 0.08716674
0.51413958 0.08741433
0.51285349 0.08761047
0.51156740 0.08771350
0.51028131 0.08773287
0.50899523 0.08771816
0.50770914 0.08772866
0.50643783 0.08781376
0.50515174 0.08795458
0.50386566 0.08810497
0.50257957 0.08821911
0.50129348 0.08827169
0.50000739 0.08826440
0.49872130 0.08821018
0.49743522 0.08812786
0.49616391 0.08803952
0.49487782 0.08797622
0.49359173 0.08795463
0.49230565 0.08798611
0.49101956 0.08806777
0.48973347 0.08819556
0.48844738 0.08835900
0.48716129 0.08850866
0.48587521 0.08857758
0.48460390 0.08850528
0.48331781 0.08833353
0.48203172 0.08817291
0.48074564 0.08812197
0.47945955 0.08822224
0.47817346 0.08840566
0.47688737 0.08858997
0.47560128 0.08869048
0.47431520 0.08865086
0.47302911 0.08847354
0.47174302 0.08823537
0.47045693 0.08807170
0.46917084 0.08810596
0.46789954 0.08833614
0.46661345 0.08857231
0.46532736 0.08855553
0.46404127 0.08822290
0.46275519 0.08784732
0.46146910 0.08781150
0.46018301 0.08819771
0.45889692 0.08875099
0.45761083 0.08922590
0.45632474 0.08951930
0.45503866 0.08971889
0.45375257 0.08993928
0.45246648 0.09014812
0.45118039 0.09006912
0.44989430 0.08953327
0.44860822 0.08878143
0.44732213 0.08820446
0.44603604 0.08801204
0.44474995 0.08806679
0.44346386 0.08815206
0.44217778 0.08813167
0.44089169 0.08799842
0.43960560 0.08780091
0.43831951 0.08757293
0.43703342 0.08734263
0.43574734 0.08711382
0.43446125 0.08689175
0.43317516 0.08668739
0.43188907 0.08653091
0.43060298 0.08646412
0.42931690 0.08648501
0.42803081 0.08652696
0.42674472 0.08657155
0.42545863 0.08665503
0.42417254 0.08680823
0.42288645 0.08695892
0.42160037 0.08681056
0.42031428 0.08619419
0.41902819 0.08535056
0.41774210 0.08474906
0.41645601 0.08454005
0.41516993 0.08451649
0.41388384 0.08452430
0.41259775 0.08457874
0.41131166 0.08477433
0.41002557 0.08499347
0.40873949 0.08506336
0.40745340 0.08499239
0.40616731 0.08493442
0.40488122 0.08503199
0.40359513 0.08534661
0.40230905 0.08581476
0.40102296 0.08622052
0.39973687 0.08636602
0.39843600 0.08626904
0.39714991 0.08608481
0.39586382 0.08591096
0.39457773 0.08577654
0.39329165 0.08566631
0.39200556 0.08555573
0.39071947 0.08543918
0.38943338 0.08535386
0.38814729 0.08533797
0.38686121 0.08540094
0.38557512 0.08553733
0.38428903 0.08573565
0.38298816 0.08593870
0.38170207 0.08604009
0.38041598 0.08600929
0.37912989 0.08595867
0.37784381 0.08595802
0.37655772 0.08597822
0.37527163 0.08597511
0.37398554 0.08592044
0.37269945 0.08580799
0.37139858 0.08569033
0.37011250 0.08567473
0.36882641 0.08581037
0.36754032 0.08602228
0.36625423 0.08618967
0.36496814 0.08623501
0.36368206 0.08616438
0.36238118 0.08603936
0.36109510 0.08590663
0.35980901 0.08579055
0.35852292 0.08567534
0.35723683 0.08559605
0.35595074 0.08564015
0.35466466 0.08580717
0.35336379 0.08601883
0.35207770 0.08618005
0.35079161 0.08624864
0.34950552 0.08624747
0.34821943 0.08617534
0.34693335 0.08605780
0.34563247 0.08593254
0.34434639 0.08584477
0.34306030 0.08582595
0.34177421 0.08586790
0.34048812 0.08595830
0.33918725 0.08606883
0.33790116 0.08618589
0.33661508 0.08631708
0.33532899 0.08648837
0.33404290 0.08674204
0.33275681 0.08705564
0.33145594 0.08734527
0.33016985 0.08754479
0.32888376 0.08763604
0.32759768 0.08760166
0.32629681 0.08748278
0.32501072 0.08737984
0.32372463 0.08740729
0.32243854 0.08762706
0.32115245 0.08803943
0.31985158 0.08861791
0.31856549 0.08930221
0.31727941 0.09001694
0.31599332 0.09067271
0.31469245 0.09125785
0.31340636 0.09181175
0.31212027 0.09230277
0.31083418 0.09266185
0.30953331 0.09288489
0.30824722 0.09306147
0.30696114 0.09334139
0.30567505 0.09381780
0.30437418 0.09448959
0.30308809 0.09526022
0.30180200 0.09596109
0.30051591 0.09648077
0.29921504 0.09683013
0.29792895 0.09710786
0.29664287 0.09745436
0.29534200 0.09797735
0.29405591 0.09864741
0.29276982 0.09933166
0.29148373 0.09986713
0.29018286 0.10013968
0.28889677 0.10014031
0.28761068 0.10015278
0.28630981 0.10045026
0.28502373 0.10090572
0.28373764 0.10136770
0.28243677 0.10168389
0.28115068 0.10168659
0.27986459 0.10150046
0.27857850 0.10130965
0.27727763 0.10120536
0.27599154 0.10129684
0.27470546 0.10160656
0.27340459 0.10197146
0.27211850 0.10214528
0.27083241 0.10202557
0.26953154 0.10162451
0.26824545 0.10109707
0.26695936 0.10068683
0.26565849 0.10050061
0.26437240 0.10047918
0.26307153 0.10048368
0.26178545 0.10045186
0.26049936 0.10036468
0.25919849 0.10017869
0.25791240 0.09991260
0.25662631 0.09960648
0.25532544 0.09929269
0.25403935 0.09900135
0.25275326 0.09872817
0.25145239 0.09844197
0.25016630 0.09812140
0.24886543 0.09774230
0.24757935 0.09729784
0.24629326 0.09678728
0.24499239 0.09621471
0.24370630 0.09558147
0.24240543 0.09491426
0.24111934 0.09427743
0.23983325 0.09371752
0.23853238 0.09323404
0.23724629 0.09277088
0.23594542 0.09225323
0.23465933 0.09162124
0.23337325 0.09086516
0.23207238 0.09000058
0.23078629 0.08903380
0.22948542 0.08798620
0.22819933 0.08690657
0.22689846 0.08589242
0.22561237 0.08499353
0.22432628 0.08417278
0.22302541 0.08334682
0.22173932 0.08244039
0.22043845 0.08146653
0.21915236 0.08045076
0.21785149 0.07942942
0.21656541 0.07844773
0.21526454 0.07753941
0.21397845 0.07671784
0.21267758 0.07593778
0.21139149 0.07505844
0.21009062 0.07396124
0.20880453 0.07272815
0.20750366 0.07164740
0.20621757 0.07095904
0.20493148 0.07057702
0.20363061 0.07016906
0.20234452 0.06955524
0.20104365 0.06882267
0.19975757 0.06807492
0.19845669 0.06736304
0.19717061 0.06661334
0.19586974 0.06568275
0.19458365 0.06452991
0.19328278 0.06344130
0.19199669 0.06274589
0.19069582 0.06240863
0.18939495 0.06211424
0.18810886 0.06159216
0.18680799 0.06088023
0.18552190 0.06014536
0.18422103 0.05951595
0.18293494 0.05899306
0.18163407 0.05853431
0.18034798 0.05811488
0.17904711 0.05771753
0.17776102 0.05735116
0.17646015 0.05702452
0.17517407 0.05674663
0.17387319 0.05651224
0.17257232 0.05631047
0.17128624 0.05612406
