# s/c    cf
0.41259775 0.03644783
0.41131166 0.03660746
0.41002557 0.03678787
0.40873949 0.03687785
0.40745340 0.03689343
0.40616731 0.03694580
0.40488122 0.03711943
0.40359513 0.03744592
0.40230905 0.03785575
0.40102296 0.03818904
0.39973687 0.03831633
0.39843600 0.03824022
0.39714991 0.03808965
0.39586382 0.03795694
0.39457773 0.03786745
0.39329165 0.03781217
0.39200556 0.03777180
0.39071947 0.03774575
0.38943338 0.03776448
0.38814729 0.03785569
0.38686121 0.03801559
0.38557512 0.03822472
0.38428903 0.03845285
0.38298816 0.03864305
0.38170207 0.03871937
0.38041598 0.03867066
0.37912989 0.03860110
0.37784381 0.03859479
0.37655772 0.03864483
0.37527163 0.03871628
0.37398554 0.03878174
0.37269945 0.03882434
0.37139858 0.03886339
0.37011250 0.03895442
0.36882641 0.03913621
0.36754032 0.03936480
0.36625423 0.03955510
0.36496814 0.03966533
0.36368206 0.03970224
0.36238118 0.03970961
0.36109510 0.03972912
0.35980901 0.03976998
0.35852292 0.03981124
0.35723683 0.03986623
0.35595074 0.03999577
0.35466466 0.04021370
0.35336379 0.04047749
0.35207770 0.04073746
0.35079161 0.04097726
0.34950552 0.04119354
0.34821943 0.04136419
0.34693335 0.04148019
0.34563247 0.04156593
0.34434639 0.04166892
0.34306030 0.04182033
0.34177421 0.04203336
0.34048812 0.04230903
0.33918725 0.04264228
0.33790116 0.04302490
0.33661508 0.04344485
0.33532899 0.04389382
0.33404290 0.04437635
0.33275681 0.04487196
0.33145594 0.04534056
0.33016985 0.04575903
0.32888376 0.04612590
0.32759768 0.04645327
0.32629681 0.04677472
0.32501072 0.04714811
0.32372463 0.04763425
0.32243854 0.04827292
0.32115245 0.04906307
0.31985158 0.04997402
0.31856549 0.05095933
0.31727941 0.05194389
0.31599332 0.05285947
0.31469245 0.05372025
0.31340636 0.05459503
0.31212027 0.05546319
0.31083418 0.05624259
0.30953331 0.05691521
0.30824722 0.05756008
0.30696114 0.05830116
0.30567505 0.05920020
0.30437418 0.06024869
0.30308809 0.06136368
0.30180200 0.06242491
0.30051591 0.06336766
0.29921504 0.06420123
0.29792895 0.06498820
0.29664287 0.06581043
0.29534200 0.06673120
0.29405591 0.06772490
0.29276982 0.06870465
0.29148373 0.06957090
0.29018286 0.07025106
0.28889677 0.07075266
0.28761068 0.07129814
0.28630981 0.07206397
0.28502373 0.07293701
0.28373764 0.07374586
0.28243677 0.07433967
0.28115068 0.07469804
0.27986459 0.07500213
0.27857850 0.07537554
0.27727763 0.07583524
0.27599154 0.07640250
0.27470546 0.07705133
0.27340459 0.07767798
0.27211850 0.07814596
0.27083241 0.07841821
0.26953154 0.07852792
0.26824545 0.07858362
0.26695936 0.07874223
0.26565849 0.07904386
0.26437240 0.07942464
0.26307153 0.07979139
0.26178545 0.08010025
0.26049936 0.08036078
0.25919849 0.08057545
0.25791240 0.08076046
0.25662631 0.08092849
0.25532544 0.08109185
0.25403935 0.08125084
0.25275326 0.08138720
0.25145239 0.08146989
0.25016630 0.08149323
0.24886543 0.08147250
0.24757935 0.08141451
0.24629326 0.08131571
0.24499239 0.08116392
0.24370630 0.08094628
0.24240543 0.08067824
0.24111934 0.08041804
0.23983325 0.08020526
0.23853238 0.08003248
0.23724629 0.07985187
0.23594542 0.07959373
