# s/c    M_iso
1.01015566 1.15611882
1.00888436 1.15612878
1.00761305 1.15611655
1.00634174 1.15608200
1.00507044 1.15602473
1.00378435 1.15594439
1.00251305 1.15584182
1.00124174 1.15571986
0.99997043 1.15558420
0.99869913 1.15544084
0.99742782 1.15529474
0.99614174 1.15515008
0.99487043 1.15500806
0.99359912 1.15487015
0.99232782 1.15473833
0.99105651 1.15461337
0.98977043 1.15449538
0.98849912 1.15438305
0.98722781 1.15427296
0.98595651 1.15416114
0.98468520 1.15404307
0.98339912 1.15391296
0.98212781 1.15376646
0.98085651 1.15359920
0.97958520 1.15340807
0.97829911 1.15319378
0.97702781 1.15296093
0.97575650 1.15271726
0.97448520 1.15247095
0.97321389 1.15222889
0.97192780 1.15199636
0.97065650 1.15177643
0.96938519 1.15157019
0.96811389 1.15137647
0.96682780 1.15119084
0.96555649 1.15100559
0.96428519 1.15081367
0.96301388 1.15060916
0.96174258 1.15038493
0.96045649 1.15013327
0.95918518 1.14984323
0.95791388 1.14950907
0.95664257 1.14914133
0.95535648 1.14876387
0.95408518 1.14839849
0.95281387 1.14805500
0.95154257 1.14773601
0.95025648 1.14743984
0.94898517 1.14716447
0.94771387 1.14690820
0.94644256 1.14666738
0.94515647 1.14643746
0.94388517 1.14621277
0.94261386 1.14598585
0.94134256 1.14574513
0.94005647 1.14547361
0.93878516 1.14515748
0.93751386 1.14479659
0.93624255 1.14440280
0.93495647 1.14399235
0.93368516 1.14358147
0.93241385 1.14318276
0.93114255 1.14280243
0.92985646 1.14244398
0.92858516 1.14211020
0.92731385 1.14180362
0.92604254 1.14152658
0.92475646 1.14127900
0.92348515 1.14105586
0.92221385 1.14084515
0.92094254 1.14063080
0.91965645 1.14040024
0.91838515 1.14014775
0.91711384 1.13987209
0.91582775 1.13957545
0.91455645 1.13926229
0.91328514 1.13893876
0.91201384 1.13861147
0.91072775 1.13828797
0.90945644 1.13797678
0.90818514 1.13768316
0.90691383 1.13740885
0.90562774 1.13715310
0.90435644 1.13691301
0.90308513 1.13668462
0.90179905 1.13646294
0.90052774 1.13624282
0.89925643 1.13601893
0.89797035 1.13578498
0.89669904 1.13553406
0.89542774 1.13525878
0.89415643 1.13495200
0.89287034 1.13460875
0.89159904 1.13422667
0.89032773 1.13380483
0.88904164 1.13334657
0.88777034 1.13286255
0.88649903 1.13236856
0.88521294 1.13187893
0.88394164 1.13140197
0.88267033 1.13094482
0.88138424 1.13051555
0.88011294 1.13012036
0.87884163 1.12976316
0.87757033 1.12944358
0.87628424 1.12915758
0.87501293 1.12889625
0.87374163 1.12864620
0.87245554 1.12839133
0.87118424 1.12811126
0.86991293 1.12778510
0.86862684 1.12739423
0.86735554 1.12692883
0.86608423 1.12639252
0.86479814 1.12579962
0.86352684 1.12516956
0.86225553 1.12452351
0.86096944 1.12388164
0.85969814 1.12325479
0.85842683 1.12264832
0.85714075 1.12206458
0.85586944 1.12150218
0.85459813 1.12095758
0.85331205 1.12042500
0.85204074 1.11989507
0.85076944 1.11935486
0.84948335 1.11879601
0.84821204 1.11821953
0.84692595 1.11763419
0.84565465 1.11704965
0.84438334 1.11647218
0.84309725 1.11590417
0.84182595 1.11534493
0.84055464 1.11479261
0.83926856 1.11424434
0.83799725 1.11369709
