# s/c    M_is
0.60521531 0.91381419
0.60392922 0.91347911
0.60264313 0.91313960
0.60137183 0.91278720
0.60008574 0.91241728
0.59879965 0.91203072
0.59751356 0.91163363
0.59624226 0.91123496
0.59495617 0.91084396
0.59367008 0.91046641
0.59239878 0.91010213
0.59111269 0.90974469
0.58982660 0.90938667
0.58854051 0.90902675
0.58726921 0.90866893
0.58598312 0.90831995
0.58469703 0.90798730
0.58341094 0.90767415
0.58213964 0.90737988
0.58085355 0.90709888
0.57956746 0.90681743
0.57829616 0.90651983
0.57701007 0.90619560
0.57572398 0.90584259
0.57443789 0.90546559
0.57316659 0.90507453
0.57188050 0.90467983
0.57059441 0.90429117
0.56930832 0.90391774
0.56803702 0.90356218
0.56675093 0.90322420
0.56546484 0.90290144
0.56417875 0.90258944
0.56289266 0.90228147
0.56162136 0.90196767
0.56033527 0.90164321
0.55904918 0.90130918
0.55776309 0.90097269
0.55649179 0.90064200
0.55520570 0.90032052
0.55391961 0.90000360
0.55263352 0.89967844
0.55134744 0.89933291
0.55007613 0.89896598
0.54879004 0.89858377
0.54750395 0.89819677
0.54621787 0.89781822
0.54494656 0.89744990
0.54366047 0.89708584
0.54237438 0.89671675
0.54108830 0.89633135
0.53980221 0.89592355
0.53853090 0.89550196
0.53724481 0.89508525
0.53595873 0.89468420
0.53467264 0.89430270
0.53338655 0.89393197
0.53210046 0.89354763
0.53082916 0.89313935
0.52954307 0.89271239
0.52825698 0.89228153
0.52697089 0.89186730
0.52568480 0.89147293
0.52439872 0.89109527
0.52312741 0.89072325
0.52184132 0.89033400
0.52055524 0.88991739
0.51926915 0.88947379
0.51798306 0.88900997
0.51669697 0.88853828
0.51542567 0.88806871
0.51413958 0.88760778
0.51285349 0.88715648
0.51156740 0.88671127
0.51028131 0.88626514
0.50899523 0.88581083
0.50770914 0.88534578
0.50643783 0.88487160
0.50515174 0.88439270
0.50386566 0.88391459
0.50257957 0.88343796
0.50129348 0.88296079
0.50000739 0.88248006
0.49872130 0.88199095
0.49743522 0.88148951
0.49616391 0.88097303
0.49487782 0.88044107
0.49359173 0.87989560
0.49230565 0.87934049
0.49101956 0.87878102
0.48973347 0.87822230
0.48844738 0.87766909
0.48716129 0.87712539
0.48587521 0.87659184
0.48460390 0.87606376
0.48331781 0.87552960
0.48203172 0.87497617
0.48074564 0.87440079
0.47945955 0.87381105
0.47817346 0.87321537
0.47688737 0.87261928
0.47560128 0.87202273
0.47431520 0.87141838
0.47302911 0.87079608
0.47174302 0.87014735
0.47045693 0.86946731
0.46917084 0.86876524
0.46789954 0.86806284
0.46661345 0.86737710
0.46532736 0.86671175
0.46404127 0.86604169
0.46275519 0.86532362
0.46146910 0.86456007
0.46018301 0.86378821
0.45889692 0.86303649
0.45761083 0.86232066
0.45632474 0.86163563
0.45503866 0.86097260
0.45375257 0.86033367
0.45246648 0.85972155
0.45118039 0.85914366
0.44989430 0.85857826
0.44860822 0.85796932
0.44732213 0.85729817
0.44603604 0.85658912
0.44474995 0.85587671
0.44346386 0.85518528
0.44217778 0.85451907
0.44089169 0.85386795
0.43960560 0.85321894
0.43831951 0.85256435
0.43703342 0.85190195
0.43574734 0.85123196
0.43446125 0.85055571
0.43317516 0.84987507
0.43188907 0.84919274
0.43060298 0.84851407
0.42931690 0.84784617
0.42803081 0.84719425
0.42674472 0.84656047
0.42545863 0.84594840
0.42417254 0.84537091
0.42288645 0.84483972
0.42160037 0.84436149
0.42031428 0.84390958
0.41902819 0.84341315
0.41774210 0.84284554
0.41645601 0.84223453
0.41516993 0.84161287
0.41388384 0.84099483
0.41259775 0.84037425
0.41131166 0.83975816
0.41002557 0.83916169
0.40873949 0.83858572
0.40745340 0.83801122
0.40616731 0.83742060
0.40488122 0.83681742
0.40359513 0.83622231
0.40230905 0.83566711
0.40102296 0.83518093
0.39973687 0.83476094
0.39843600 0.83437553
0.39714991 0.83399383
0.39586382 0.83360000
0.39457773 0.83319347
0.39329165 0.83277922
0.39200556 0.83236025
0.39071947 0.83193557
0.38943338 0.83150519
0.38814729 0.83107605
0.38686121 0.83066145
0.38557512 0.83027642
0.38428903 0.82993401
0.38298816 0.82964286
0.38170207 0.82939619
0.38041598 0.82916660
0.37912989 0.82892490
0.37784381 0.82866134
0.37655772 0.82838417
0.37527163 0.82810540
0.37398554 0.82783242
0.37269945 0.82756797
0.37139858 0.82730770
0.37011250 0.82704831
0.36882641 0.82680078
0.36754032 0.82658048
0.36625423 0.82639598
0.36496814 0.82624393
0.36368206 0.82611193
0.36238118 0.82598850
0.36109510 0.82586791
0.35980901 0.82575194
0.35852292 0.82564050
0.35723683 0.82552543
0.35595074 0.82540174
0.35466466 0.82527411
0.35336379 0.82515179
0.35207770 0.82504157
0.35079161 0.82494467
0.34950552 0.82486177
0.34821943 0.82479432
0.34693335 0.82473605
0.34563247 0.82467400
0.34434639 0.82459546
0.34306030 0.82449139
0.34177421 0.82435674
0.34048812 0.82419019
0.33918725 0.82399351
0.33790116 0.82377060
0.33661508 0.82352582
0.33532899 0.82326130
0.33404290 0.82297902
0.33275681 0.82267987
0.33145594 0.82235915
0.33016985 0.82200737
0.32888376 0.82161157
0.32759768 0.82115616
0.32629681 0.82062882
0.32501072 0.82002055
0.32372463 0.81932837
0.32243854 0.81856036
0.32115245 0.81773136
0.31985158 0.81685707
0.31856549 0.81595057
0.31727941 0.81501909
0.31599332 0.81405417
0.31469245 0.81303766
0.31340636 0.81196178
0.31212027 0.81082928
0.31083418 0.80964179
0.30953331 0.80838247
0.30824722 0.80702611
0.30696114 0.80555994
0.30567505 0.80399178
0.30437418 0.80234859
0.30308809 0.80065657
0.30180200 0.79892942
0.30051591 0.79716448
0.29921504 0.79534790
0.29792895 0.79346422
0.29664287 0.79150623
0.29534200 0.78948218
0.29405591 0.78741017
0.29276982 0.78530311
0.29148373 0.78316541
0.29018286 0.78098602
0.28889677 0.77873271
0.28761068 0.77637522
0.28630981 0.77393010
0.28502373 0.77143821
0.28373764 0.76892805
0.28243677 0.76639996
0.28115068 0.76380949
0.27986459 0.76112355
0.27857850 0.75834209
0.27727763 0.75547402
0.27599154 0.75253632
0.27470546 0.74955805
0.27340459 0.74655591
0.27211850 0.74353004
0.27083241 0.74046516
0.26953154 0.73732909
0.26824545 0.73410143
0.26695936 0.73077720
0.26565849 0.72737131
0.26437240 0.72391394
0.26307153 0.72041791
0.26178545 0.71688101
0.26049936 0.71329751
0.25919849 0.70966179
0.25791240 0.70597318
0.25662631 0.70223422
0.25532544 0.69845064
0.25403935 0.69463010
0.25275326 0.69078123
0.25145239 0.68690754
0.25016630 0.68300576
0.24886543 0.67907300
0.24757935 0.67510960
0.24629326 0.67111669
0.24499239 0.66709744
0.24370630 0.66305111
0.24240543 0.65897113
0.24111934 0.65485430
0.23983325 0.65070572
0.23853238 0.64653869
0.23724629 0.64236769
0.23594542 0.63820017
0.23465933 0.63403354
0.23337325 0.62985673
0.23207238 0.62565908
0.23078629 0.62143507
0.22948542 0.61718382
0.22819933 0.61290663
0.22689846 0.60860570
0.22561237 0.60429035
0.22432628 0.59997639
0.22302541 0.59567295
0.22173932 0.59137904
0.22043845 0.58709001
0.21915236 0.58280130
0.21785149 0.57851058
0.21656541 0.57422020
0.21526454 0.56993602
0.21397845 0.56566402
0.21267758 0.56141324
0.21139149 0.55718406
0.21009062 0.55296264
0.20880453 0.54873356
0.20750366 0.54448810
0.20621757 0.54025040
0.20493148 0.53607793
0.20363061 0.53198890
0.20234452 0.52796295
0.20104365 0.52398033
0.19975757 0.52002317
0.19845669 0.51608881
0.19717061 0.51217774
0.19586974 0.50827761
0.19458365 0.50437400
0.19328278 0.50044347
0.19199669 0.49649592
0.19069582 0.49259299
0.18939495 0.48876708
0.18810886 0.48500348
0.18680799 0.48127179
0.18552190 0.47754950
0.18422103 0.47383309
0.18293494 0.47013227
0.18163407 0.46645816
0.18034798 0.46281517
0.17904711 0.45920229
0.17776102 0.45561721
0.17646015 0.45205878
0.17517407 0.44852818
0.17387319 0.44502840
0.17257232 0.44156221
0.17128624 0.43813177
0.16998537 0.43473619
0.16869928 0.43137116
0.16739841 0.42802421
0.16611232 0.42466532
0.16481145 0.42125925
0.16351058 0.41776912
0.16222449 0.41420173
0.16092362 0.41063696
0.15963753 0.40712121
0.15833666 0.40364418
0.15703579 0.40018404
0.15574970 0.39673655
0.15444883 0.39332160
0.15316274 0.38993734
0.15186187 0.38656422
0.15056100 0.38319575
0.14927491 0.37985447
0.14797404 0.37656904
0.14668795 0.37334666
0.14538708 0.37017044
0.14408621 0.36699856
0.14280012 0.36377724
0.14149925 0.36048673
0.14019838 0.35715138
0.13891229 0.35380644
0.13761142 0.35047516
0.13632534 0.34716281
0.13502447 0.34386626
0.13372359 0.34058452
0.13243751 0.33732329
0.13113664 0.33408886
0.12983577 0.33087066
0.12854968 0.32927571
0.12724881 0.32609375
0.12594794 0.32292242
0.12466185 0.31976171
0.12336098 0.31661159
0.12206011 0.31347205
0.12075924 0.31034307
0.11947315 0.30722462
0.11817228 0.30411669
0.11687141 0.30101927
0.11558532 0.29793232
0.11428445 0.29485585
0.11298358 0.29178981
0.11169749 0.28873421
0.11039662 0.28568901
0.10909575 0.28265419
0.10779488 0.27962975
0.10650879 0.27661565
0.10520792 0.27361188
0.10390705 0.27061841
0.10260618 0.26763522
0.10132009 0.26466230
0.10001922 0.26169960
0.09871835 0.25874712
0.09743226 0.25580481
0.09613139 0.25287267
0.09483052 0.24995065
0.09352965 0.24703873
0.09224356 0.24413687
0.09094269 0.24124504
0.08964182 0.23836321
0.08834095 0.23549134
0.08704008 0.23262939
0.08575399 0.22977731
0.08445312 0.22693507
0.08315225 0.22410261
0.08185138 0.22127989
0.08056529 0.21846685
0.07926442 0.21566344
0.07796355 0.21286959
0.07666268 0.21008524
0.07536180 0.20731032
0.07407572 0.20454476
0.07277485 0.20178848
0.07147398 0.19904139
0.07017310 0.19630341
0.06887223 0.19357444
0.06757136 0.19085438
0.06628528 0.18814311
0.06498440 0.18544053
0.06368353 0.18274651
0.06238266 0.18006090
0.06108179 0.17738358
0.05978092 0.17471438
0.05849483 0.17205314
0.05719396 0.16939969
0.05589309 0.16675383
0.05459222 0.16411536
0.05329135 0.16148407
0.05199048 0.15885971
0.05068961 0.15624204
0.04940352 0.15363079
0.04810265 0.15102566
0.04680178 0.14842635
0.04550091 0.14583250
0.04420004 0.14324377
0.04289917 0.14065976
0.04159830 0.13808003
0.04029743 0.13550415
0.03901134 0.13293160
0.03771047 0.13036186
0.03640960 0.12779433
0.03510873 0.12522840
0.03380786 0.12266337
0.03250698 0.12009849
0.03120611 0.11753295
0.02990524 0.11496587
0.02860437 0.11239625
0.02730350 0.10982304
0.02600263 0.10724506
0.02470176 0.10466102
0.02341567 0.10206949
0.02211480 0.09946889
0.02081393 0.09685745
0.01951306 0.09423322
0.01821219 0.09159400
0.01691132 0.08893732
0.01561045 0.08626041
0.01430958 0.08356011
0.01300871 0.08083281
0.01170784 0.07807437
0.01040697 0.07528001
0.00910609 0.07244415
0.00780522 0.06956022
0.00650435 0.06662043
0.00520348 0.06361540
0.00390261 0.06053366
0.00260174 0.05736104
0.00130087 0.05407957
0.00000000 0.05066603
-0.00000000 0.04327997
-0.00130087 0.03556727
-0.00260335 0.03059711
-0.00390746 0.02544163
-0.00521317 0.02140172
-0.00652048 0.01728283
-0.00782941 0.01338686
-0.00913993 0.00997780
-0.01045207 0.00705529
-0.01176578 0.00546498
-0.01308110 0.00631043
-0.01439801 0.00892437
-0.01571644 0.01222040
-0.01703653 0.01639582
-0.01835824 0.02069193
-0.01968143 0.02504705
-0.02100625 0.02960411
-0.02233255 0.03428316
-0.02366047 0.03904088
-0.02499002 0.04385222
-0.02632105 0.04849654
