# s/c    M_is
1.08021050 0.88286261
1.07893920 0.88306717
1.07766789 0.88326669
1.07638181 0.88347209
1.07511050 0.88369228
1.07383919 0.88393134
1.07256789 0.88418954
1.07129658 0.88446568
1.07002528 0.88475741
1.06875397 0.88506160
1.06746788 0.88537493
1.06619658 0.88569502
1.06492527 0.88602098
1.06365397 0.88635331
1.06238266 0.88669171
1.06111136 0.88703493
1.05984005 0.88737951
1.05856875 0.88772060
1.05728266 0.88805816
1.05601135 0.88839500
1.05474005 0.88873383
1.05346874 0.88907784
1.05219744 0.88942806
1.05092613 0.88978413
1.04965483 0.89014698
1.04836874 0.89051631
1.04709743 0.89089135
1.04582613 0.89127138
1.04455482 0.89165550
1.04328352 0.89204396
1.04201221 0.89243730
1.04072612 0.89283598
1.03945482 0.89323977
1.03818351 0.89364780
1.03691221 0.89405888
1.03564090 0.89447139
1.03436960 0.89488392
1.03309829 0.89529704
1.03181220 0.89571273
1.03054090 0.89613309
1.02926959 0.89655994
1.02799829 0.89699496
1.02672698 0.89743994
1.02545567 0.89789674
1.02416959 0.89836583
1.02289828 0.89884428
1.02162698 0.89932614
1.02035567 0.89980496
1.01908436 0.90027674
1.01779828 0.90074052
1.01652697 0.90119706
1.01525567 0.90164760
1.01398436 0.90209320
1.01271305 0.90253471
1.01144175 0.90297250
1.01015566 0.90340685
1.00888436 0.90383763
1.00761305 0.90426403
1.00634174 0.90468525
1.00507044 0.90510009
1.00378435 0.90550739
1.00251305 0.90590664
1.00124174 0.90629940
0.99997043 0.90668855
0.99869913 0.90707754
0.99742782 0.90746987
0.99614174 0.90786641
0.99487043 0.90826782
0.99359912 0.90867609
0.99232782 0.90909319
0.99105651 0.90952072
0.98977043 0.90995935
0.98849912 0.91040821
0.98722781 0.91086496
0.98595651 0.91132641
0.98468520 0.91178866
0.98339912 0.91224781
0.98212781 0.91269956
0.98085651 0.91313945
0.97958520 0.91356508
0.97829911 0.91397633
0.97702781 0.91437666
0.97575650 0.91477144
0.97448520 0.91516661
0.97321389 0.91556880
0.97192780 0.91598142
0.97065650 0.91640678
0.96938519 0.91684616
0.96811389 0.91729820
0.96682780 0.91775890
0.96555649 0.91822209
0.96428519 0.91868140
0.96301388 0.91913195
0.96174258 0.91956845
0.96045649 0.91998242
0.95918518 0.92036502
0.95791388 0.92071215
0.95664257 0.92103407
0.95535648 0.92134964
0.95408518 0.92167560
0.95281387 0.92202203
0.95154257 0.92238992
0.95025648 0.92277818
0.94898517 0.92318530
0.94771387 0.92360969
0.94644256 0.92404922
0.94515647 0.92449950
0.94388517 0.92495636
0.94261386 0.92541346
0.94134256 0.92585843
0.94005647 0.92627713
0.93878516 0.92665870
0.93751386 0.92700399
0.93624255 0.92732409
0.93495647 0.92763305
0.93368516 0.92794492
0.93241385 0.92826895
0.93114255 0.92861029
0.92985646 0.92897196
