# s/c    M_iso_mean    M_iso_std
0.30308809 0.81799565 0.00125908
0.30437418 0.81924797 0.00123797
0.30567505 0.82039796 0.00121475
0.30696114 0.82149499 0.00119223
0.30824722 0.82257354 0.00117346
0.30953331 0.82364040 0.00115981
0.31083418 0.82467454 0.00115031
0.31212027 0.82563447 0.00114280
0.31340636 0.82648710 0.00113364
0.31469245 0.82722906 0.00111625
0.31599332 0.82787531 0.00108686
0.31727941 0.82843022 0.00104700
0.31856549 0.82888641 0.00099951
0.31985158 0.82925778 0.00094819
0.32115245 0.82957809 0.00089693
0.32243854 0.82988562 0.00085112
0.32372463 0.83021895 0.00081821
0.32501072 0.83059362 0.00080124
0.32629681 0.83100308 0.00079854
0.32759768 0.83143180 0.00080706
0.32888376 0.83185698 0.00082004
0.33016985 0.83225581 0.00082774
0.33145594 0.83261777 0.00082682
0.33275681 0.83294215 0.00081864
0.33404290 0.83323912 0.00080740
0.33532899 0.83352534 0.00080038
0.33661508 0.83380670 0.00080140
0.33790116 0.83407691 0.00080866
0.33918725 0.83432881 0.00081655
0.34048812 0.83456744 0.00082187
0.34177421 0.83480627 0.00082385
0.34306030 0.83506268 0.00082434
0.34434639 0.83535514 0.00082663
0.34563247 0.83569624 0.00083483
0.34693335 0.83609018 0.00085468
0.34821943 0.83652115 0.00088604
0.34950552 0.83695664 0.00092396
0.35079161 0.83737113 0.00096310
0.35207770 0.83774872 0.00099620
0.35336379 0.83808283 0.00101838
0.35466466 0.83838459 0.00103131
0.35595074 0.83868365 0.00104136
0.35723683 0.83901494 0.00105552
0.35852292 0.83939863 0.00107798
0.35980901 0.83982883 0.00110883
0.36109510 0.84028731 0.00114466
0.36238118 0.84076838 0.00118409
0.36368206 0.84126809 0.00122559
0.36496814 0.84176968 0.00126412
0.36625423 0.84225142 0.00129573
0.36754032 0.84269923 0.00131998
0.36882641 0.84311937 0.00134077
0.37011250 0.84354030 0.00136592
0.37139858 0.84399519 0.00140328
0.37269945 0.84448796 0.00145290
0.37398554 0.84499439 0.00150772
0.37527163 0.84549532 0.00156272
0.37655772 0.84598305 0.00161382
0.37784381 0.84645774 0.00165660
0.37912989 0.84693729 0.00169050
0.38041598 0.84744286 0.00171746
0.38170207 0.84797397 0.00173874
0.38298816 0.84850755 0.00175555
0.38428903 0.84902140 0.00177081
0.38557512 0.84951597 0.00178959
0.38686121 0.85000258 0.00181561
0.38814729 0.85049075 0.00184926
0.38943338 0.85099179 0.00188941
0.39071947 0.85151698 0.00193531
0.39200556 0.85207071 0.00198504
0.39329165 0.85264908 0.00203617
0.39457773 0.85324820 0.00208723
0.39586382 0.85387212 0.00213826
0.39714991 0.85452778 0.00218896
0.39843600 0.85521780 0.00223970
0.39973687 0.85592144 0.00228856
0.40102296 0.85659168 0.00233045
0.40230905 0.85717964 0.00236077
0.40359513 0.85767990 0.00238254
0.40488122 0.85814157 0.00240984
0.40616731 0.85861091 0.00244937
0.40745340 0.85910679 0.00249706
0.40873949 0.85962351 0.00254644
0.41002557 0.86013005 0.00259013
0.41131166 0.86059949 0.00262477
0.41259775 0.86103986 0.00265388
0.41388384 0.86148616 0.00268540
0.41516993 0.86196112 0.00272077
0.41645601 0.86246898 0.00276015
0.41774210 0.86304567 0.00281108
0.41902819 0.86374283 0.00287782
0.42031428 0.86459207 0.00296019
0.42160037 0.86554800 0.00304719
0.42288645 0.86649671 0.00312037
0.42417254 0.86738827 0.00317432
0.42545863 0.86823224 0.00321645
0.42674472 0.86904786 0.00325633
0.42803081 0.86985294 0.00329611
0.42931690 0.87065486 0.00333519
0.43060298 0.87146721 0.00337705
0.43188907 0.87230608 0.00342529
0.43317516 0.87317897 0.00348095
0.43446125 0.87408386 0.00354184
0.43574734 0.87501660 0.00360592
0.43703342 0.87597322 0.00367162
0.43831951 0.87694952 0.00373693
0.43960560 0.87794206 0.00380044
0.44089169 0.87894785 0.00386181
0.44217778 0.87996060 0.00392094
0.44346386 0.88096496 0.00397572
0.44474995 0.88194829 0.00402489
0.44603604 0.88291560 0.00407068
0.44732213 0.88390499 0.00412398
0.44860822 0.88497434 0.00419762
0.44989430 0.88615898 0.00429396
0.45118039 0.88742025 0.00440078
0.45246648 0.88864673 0.00449108
0.45375257 0.88979055 0.00455613
