# s/c   cf_mean    cf_std
0.48716129 0.10355118 0.04123038
0.48844738 0.10343082 0.04123762
0.48973347 0.10329244 0.04125339
0.49101956 0.10317597 0.04127966
0.49230565 0.10309307 0.04131213
0.49359173 0.10305114 0.04134936
0.49487782 0.10305341 0.04138861
0.49616391 0.10309376 0.04142825
0.49743522 0.10315515 0.04146624
0.49872130 0.10321134 0.04149990
0.50000739 0.10323734 0.04153000
0.50129348 0.10321339 0.04155658
0.50257957 0.10312698 0.04157930
0.50386566 0.10297239 0.04159924
0.50515174 0.10277056 0.04161865
0.50643783 0.10256233 0.04164536
0.50770914 0.10239099 0.04168294
0.50899523 0.10227237 0.04173022
0.51028131 0.10217049 0.04177677
0.51156740 0.10202962 0.04181545
0.51285349 0.10181484 0.04184448
0.51413958 0.10153158 0.04186870
0.51542567 0.10120251 0.04189340
0.51669697 0.10086056 0.04191729
0.51798306 0.10057097 0.04195339
0.51926915 0.10039917 0.04200561
0.52055524 0.10034007 0.04205819
0.52184132 0.10037760 0.04211033
0.52312741 0.10043508 0.04215934
0.52439872 0.10036303 0.04218406
0.52568480 0.10005884 0.04217538
0.52697089 0.09953689 0.04214496
0.52825698 0.09893780 0.04211723
0.52954307 0.09841602 0.04212035
0.53082916 0.09809470 0.04215680
0.53210046 0.09800887 0.04221476
0.53338655 0.09799517 0.04226483
0.53467264 0.09786369 0.04227974
0.53595873 0.09755235 0.04226704
0.53724481 0.09712275 0.04223981
0.53853090 0.09671180 0.04221833
0.53980221 0.09649733 0.04223903
0.54108830 0.09652469 0.04228658
0.54237438 0.09662178 0.04231006
0.54366047 0.09669264 0.04231996
0.54494656 0.09667440 0.04231384
0.54621787 0.09648460 0.04227310
0.54750395 0.09620327 0.04222575
0.54879004 0.09595476 0.04219937
0.55007613 0.09581224 0.04219076
0.55134744 0.09580855 0.04219357
0.55263352 0.09589947 0.04219950
0.55391961 0.09597301 0.04218889
0.55520570 0.09593491 0.04215764
0.55649179 0.09578760 0.04211274
0.55776309 0.09560071 0.04206731
0.55904918 0.09548616 0.04204223
0.56033527 0.09550706 0.04203807
0.56162136 0.09563817 0.04204105
0.56289266 0.09580062 0.04203863
0.56417875 0.09592258 0.04202511
0.56546484 0.09595215 0.04199838
0.56675093 0.09587818 0.04196293
0.56803702 0.09571524 0.04192405
0.56930832 0.09546737 0.04188060
0.57059441 0.09517333 0.04183903
0.57188050 0.09489807 0.04181300
0.57316659 0.09469929 0.04180439
0.57443789 0.09460524 0.04180276
0.57572398 0.09462762 0.04180255
0.57701007 0.09476415 0.04179687
0.57829616 0.09499318 0.04178681
0.57956746 0.09524897 0.04176794
0.58085355 0.09544218 0.04173921
0.58213964 0.09549040 0.04169503
0.58341094 0.09536986 0.04163179
0.58469703 0.09512555 0.04156368
0.58598312 0.09483844 0.04150281
0.58726921 0.09456995 0.04145846
0.58854051 0.09434878 0.04142409
0.58982660 0.09419970 0.04139862
0.59111269 0.09409476 0.04137707
0.59239878 0.09394398 0.04133643
0.59367008 0.09370402 0.04127767
0.59495617 0.09343280 0.04121996
0.59624226 0.09320571 0.04117476
0.59751356 0.09308169 0.04114535
0.59879965 0.09308061 0.04112658
0.60008574 0.09319087 0.04110948
0.60137183 0.09338100 0.04108969
0.60264313 0.09359453 0.04106076
0.60392922 0.09375188 0.04101937
0.60521531 0.09377443 0.04095564
0.60648661 0.09362543 0.04086805
